x,y
4,9
6,10
7,10
1,11
3,11
6,14
7,14
10,14
1,15
4,15
1,16
15,17
2,18
7,18
10,18
14,18
16,19
2,20
8,20
9,21
17,21
19,21
19,22
18,23
15,25
16,25
19,25
18,26
2,27
26,27
2,28
8,28
18,28
26,28
27,28
2,29
9,29
21,29
11,30
19,30
22,30
25,30
8,31
20,31
29,31
18,32
10,33
14,33
13,34
15,34
17,34
22,34
15,35
34,35
30,36
2,37
21,37
24,37
9,38
15,38
17,38
22,38
34,38
35,38
37,38
15,39
17,39
21,39
34,39
37,40
1,41
8,41
15,41
16,41
34,41
37,41
38,41
2,42
10,42
14,42
1,43
3,43
11,43
31,43
15,44
30,44
34,44
38,44
39,44
3,45
21,45
35,45
39,45
9,46
16,46
19,46
22,46
24,46
25,46
30,46
38,46
44,47
1,48
11,48
21,48
29,48
31,48
43,48
35,50
47,50
15,51
17,51
21,51
34,51
43,51
46,51
5,52
12,52
19,52
22,52
24,52
25,52
30,52
46,52
51,52
15,53
30,53
39,53
41,53
44,54
2,55
7,55
8,55
14,55
20,55
42,55
16,56
52,56
6,57
7,57
6,58
7,58
10,58
14,58
18,58
40,58
42,58
49,58
55,58
39,59
4,60
9,60
16,60
37,60
46,60
33,61
3,62
38,62
54,62
