name,sex
Beak,M
Beescratch,M
Bumper,M
CCL,F
Cross,M
DN16,F
DN21,M
DN63,M
Double,F
Feather,M
Fish,F
Five,F
Fork,M
Gallatin,M
Grin,F
Haecksel,M
Hook,F
Jet,M
Jonah,M
Knit,M
Kringel,F
MN105,M
MN23,M
MN60,M
MN83,M
Mus,M
Notch,M
Number1,M
Oscar,M
Patchback,M
PL,M
Quasi,M
Ripplefluke,M
Scabs,F
Shmuddel,F
SMN5,M
SN100,F
SN4,F
SN63,F
SN89,F
SN9,F
SN90,M
SN96,M
Stripes,F
Thumper,M
Topless,M
TR120,F
TR77,F
TR82,F
TR88,F
TR99,F
Trigger,F
TSN103,F
TSN83,M
Upbang,M
Vau,F
Wave,F
Web,M
Whitetip,F
Zap,F
Zig,M
Zipfel,M
