row ,col,name,code
1,7,heilongjiang,黑龙江
2,1,xinjiang,新疆
2,7,jilin,吉林
3,2,gansu,甘肃
3,3,ningxia,宁夏
3,4,neimenggu,内蒙古
3,5,hebei,河北
3,6,beijing,北京
3,7,liaoning,辽宁
4,2,qinghai,青海
4,3,shanxi1,陕西
4,4,shanxi2,山西
4,5,henan,河南
4,6,tianjin,天津
5,2,xizang,西藏
5,3,sichaun,四川
5,4,chongqing,重庆
5,5,hubei,湖北
5,6,anhui,安徽
5,7,sahndong,山东
6,2,yunnan,云南
6,3,guizhou,贵州
6,4,hunan,湖南
6,5,jiangxi,江西
6,6,jiangsu,江苏
6,7,shanghai,上海
7,3,guangxi,广西
7,4,guangdong,广东
7,5,fujian,福建
7,6,zhejiang,浙江
8,2,hainan,海南
8,3,xianggang,澳门
8,4,aomen,香港
8,7,taiwan,台湾
