value,lat,long,country
4,36.35815389,120.1074272,PETER
6,36.78106051,121.7663315,PETER
8,36.70385893,119.2645703,PETER
10,36.08717879,120.8295942,PETER
11,39.53409312,123.1428091,PETER
12,43.56950052,121.3374299,PETER
13,37.03777129,120.4287607,PETER
17,36.83822002,119.5209965,PETER
20,36.96748079,120.7209398,PETER
21,35.65132322,120.9174451,PETER
22,40.76901318,120.494451,PETER
25,40.00841703,120.5498952,PETER
26,36.93923141,121.0792373,PETER
27,39.18729315,119.2055198,PETER
28,36.07487844,122.1673623,PETER
30,37.18400624,117.8940858,PETER
32,35.35299341,120.5747355,PETER
33,40.19495714,122.5978608,PETER
34,37.12824345,122.9549585,PETER
36,34.83062263,120.8916454,PETER
37,40.4932115,120.1473697,PETER
39,35.92476047,114.3718782,PETER
41,36.91132672,121.1955013,PETER
42,38.41651253,121.598932,PETER
43,40.00604539,122.921904,PETER
44,39.16350512,122.8657092,PETER
45,35.48780939,123.1003807,PETER
46,39.28507619,122.3531527,PETER
47,37.99572348,120.2991551,PETER
48,37.18299337,118.5266061,PETER
49,41.96572874,120.0248847,PETER
50,35.00360497,119.6453564,PETER
51,39.47598202,123.7602218,PETER
52,33.38241748,124.1619513,PETER
53,38.1197071,122.7855613,PETER
54,37.08942076,122.5912015,PETER
57,36.83651521,122.7392272,PETER
58,37.67583542,124.2419865,PETER
59,38.54930648,123.7021589,PETER
60,37.11289576,122.6200858,PETER
62,36.90625461,122.367575,PETER
63,37.90780267,123.2421758,PETER
64,37.24853417,121.1211447,PETER
65,36.85748513,123.4861315,PETER
66,39.4301668,122.0918183,PETER
67,36.95592607,122.4129148,PETER
68,37.51790511,120.9006848,PETER
69,34.04129713,120.2215751,PETER
70,39.53876348,121.3608133,PETER
73,34.66657295,120.3195861,PETER
74,35.3740165,118.4423557,PETER
75,38.31867627,121.7740999,PETER
78,47.16354215,123.0139639,PETER
82,36.25384248,118.0889158,PETER
84,38.84709848,121.9697861,PETER
85,35.8539865,116.3578356,PETER
87,35.90244476,122.6698771,PETER
88,41.49841504,122.8810271,PETER
90,37.54531181,116.8996529,PETER
91,40.68313745,121.7603196,PETER
92,36.93905342,119.9042959,PETER
93,39.41677563,121.3691437,PETER
95,38.14087178,118.406644,PETER
98,42.50638231,117.0402555,PETER
99,37.00980582,117.1458972,PETER
100,39.81929754,124.2558334,PETER
101,37.40509161,119.9669895,PETER
102,39.35486065,117.1180775,PETER
103,35.78984112,120.2746305,PETER
104,34.00505679,120.7677367,PETER
105,35.0761487,120.8471235,PETER
106,36.83926278,121.6489626,PETER
107,35.69644203,123.5388141,PETER
109,41.31219781,120.8111523,PETER
110,37.81956418,121.5558969,PETER
111,36.00762491,121.1552334,PETER
112,38.41576842,120.4876822,PETER
114,34.8166759,120.4539677,PETER
115,35.90896614,121.434904,PETER
116,41.1238258,116.3399183,PETER
117,38.58452969,123.088078,PETER
118,40.99730684,117.8201539,PETER
120,37.55625417,124.2040273,PETER
121,35.26129908,115.7605536,PETER
122,36.50292144,120.8075311,PETER
123,39.05083036,120.1071159,PETER
127,36.88714406,121.002864,PETER
130,37.91262783,118.5306313,PETER
134,40.52064126,119.1792099,PETER
139,37.75951726,115.4345301,PETER
141,36.10881884,120.2864562,PETER
142,38.0288444,123.8485177,PETER
144,38.67579384,119.9945383,PETER
145,35.35987783,121.3314895,PETER
146,40.37139965,117.4703622,PETER
147,40.72347546,119.5358442,PETER
148,38.27731379,119.5158401,PETER
149,38.55560097,122.9708608,PETER
150,36.19484292,121.9375431,PETER
153,38.57115766,120.9283104,PETER
156,38.14678572,117.9690375,PETER
157,37.01119928,121.876276,PETER
158,37.95160403,117.5444253,PETER
159,33.27839165,123.5764428,PETER
160,35.44140255,121.1605921,PETER
161,39.55528173,124.4577852,PETER
162,36.4253477,122.3461624,PETER
165,36.88918868,122.1194831,PETER
166,39.84109058,119.2298834,PETER
168,35.74639872,119.2129348,PETER
169,35.65228451,116.3772198,PETER
171,39.00005747,120.3970882,PETER
173,37.91159812,119.4382411,PETER
175,40.57058569,118.5905044,PETER
176,35.9231858,121.1672977,PETER
177,36.98091129,120.0245417,PETER
178,38.12048745,121.9110224,PETER
179,39.25341767,120.2802078,PETER
180,36.32301393,122.856789,PETER
181,40.29199196,121.4512941,PETER
185,37.46604551,122.8119352,PETER
187,40.00363017,123.3150904,PETER
188,42.56452201,121.0267897,PETER
189,39.16420999,119.8132991,PETER
191,37.62635311,120.9741263,PETER
193,36.58588759,118.7453201,PETER
194,39.65997305,120.4631573,PETER
198,37.60672495,115.8818767,PETER
200,40.91716028,117.2907155,PETER
201,35.98275235,115.863172,PETER
202,37.27655735,119.8905788,PETER
204,34.28433065,123.3584361,PETER
205,36.20846743,122.4253952,PETER
206,39.66654592,120.0809509,PETER
207,38.5091104,120.5792346,PETER
209,35.59161939,118.3864116,PETER
213,38.13818261,118.6929063,PETER
215,38.11503169,122.278649,PETER
216,40.20919133,121.8462816,PETER
218,37.62855591,118.7825339,PETER
220,38.14987344,118.157883,PETER
222,35.33022238,120.60038,PETER
223,36.88419797,121.5300824,PETER
225,35.23710237,125.2912433,PETER
226,38.70539865,123.3220469,PETER
227,34.27223134,123.4856895,PETER
228,39.42591055,119.5737595,PETER
236,40.88847014,121.6419255,PETER
237,38.17781789,123.9895375,PETER
240,41.79313823,119.5826959,PETER
241,34.06694369,120.0663277,PETER
242,36.96689036,117.3233442,PETER
244,41.11629937,122.1481724,PETER
249,37.71222452,120.8417039,PETER
250,39.73891316,121.3065109,PETER
253,37.2524855,123.4981187,PETER
255,37.33112973,123.5746744,PETER
258,44.53711793,121.5972902,PETER
259,37.01500192,118.8290307,PETER
262,38.72001288,120.7843876,PETER
265,34.77267249,119.6070359,PETER
266,38.22761788,122.8171532,PETER
267,37.88740669,123.0639338,PETER
269,40.10061096,119.6728409,PETER
270,40.27308225,118.3799489,PETER
271,39.03698213,122.5353167,PETER
272,38.47933671,120.0070943,PETER
274,44.08138688,121.1877807,PETER
275,36.49654061,119.7500391,PETER
276,36.92730657,122.9636179,PETER
277,37.58318782,119.7982264,PETER
278,40.83073065,120.2463978,PETER
279,35.38071336,123.441557,PETER
280,36.63641537,123.3475313,PETER
281,40.49327821,122.9199409,PETER
282,41.25996624,120.9198461,PETER
283,34.9311961,125.3382307,PETER
284,34.43232573,123.4366637,PETER
286,38.72859378,122.3413242,PETER
290,38.47409247,119.6174868,PETER
291,33.9993136,123.4856277,PETER
292,37.70326846,121.6925035,PETER
293,40.15421537,123.7070249,PETER
294,36.19618519,120.6500707,PETER
295,39.62828928,124.371909,PETER
296,36.67604231,123.2363395,PETER
297,40.10798221,120.4338409,PETER
300,39.92018959,120.6591161,PETER
301,36.85419851,119.2687091,PETER
303,40.84788002,119.9533985,PETER
304,36.92038355,117.8177516,PETER
306,34.12095822,120.2547312,PETER
309,34.65381841,119.7343381,PETER
312,38.2228917,121.167374,PETER
313,39.48663985,122.8457032,PETER
314,37.45902675,123.992861,PETER
315,36.84490902,118.6274125,PETER
316,36.78551778,118.227852,PETER
319,36.84132365,123.5142712,PETER
326,40.68571568,121.0355811,PETER
328,39.88066793,119.0091254,PETER
329,38.0267967,122.0438066,PETER
332,38.38183255,123.433572,PETER
338,35.55999685,125.276201,PETER
339,40.73362213,122.0778036,PETER
340,37.05262954,120.6674919,PETER
342,36.52992694,118.0072095,PETER
343,40.06345917,123.6592035,PETER
344,41.18588865,122.1331984,PETER
345,38.79740564,121.2686673,PETER
347,34.8493326,120.2002527,PETER
348,38.31121372,123.743528,PETER
349,36.7119661,117.6006481,PETER
351,39.05454318,123.8572099,PETER
352,37.44046914,121.1300362,PETER
354,36.93038261,122.123668,PETER
355,36.36642123,119.0266194,PETER
356,39.76321931,116.7456419,PETER
357,40.40832012,122.6487555,PETER
358,35.51733197,118.7040448,PETER
359,37.39718617,123.9010307,PETER
360,37.3194193,120.0697405,PETER
361,34.99974309,119.8803693,PETER
