Country,Scale
Aruba,
Afghanistan,14337184953
Angola,122686093
Anguilla,
Albania,52348966
Finland,
Andorra,
United Arab Emirates,1420302
Argentina,4793871
Armenia,118083985
American Samoa,1706789
Antarctica,
Australia,
French Southern and Antarctic Lands,
Antigua,1024000
Barbuda,
Austria,
Azerbaijan,99645874
Burundi,71626580
Belgium,4143675
Benin,72834739
Burkina Faso,291773051
Bangladesh,657712016
Bulgaria,40346336
Bahrain,22984534
Bahamas,5530627
Bosnia and Herzegovina,113820206
Saint Barthelemy,
Belarus,33366555
Belize,19013177
Bermuda,
Bolivia,40456906
Brazil,47003710
Barbados,1195377
Brunei,336196
Bhutan,827607
Botswana,108084913
Central African Republic,163301353
Canada,25171012
Switzerland,1182463
Chile,9166231
China,109468893
Ivory Coast,230099050
Cameroon,107714146
Democratic Republic of the Congo,774104905
Republic of Congo,9313958
Cook Islands,
Colombia,1008396303
Comoros,1162798
Cape Verde,
Costa Rica,23807023
Cuba,19674492
Curacao,
Cayman Islands,
Cyprus,5878004
Czech Republic,12429517
Germany,627585
Djibouti,43437611
Dominica,958000
Denmark,
Dominican Republic,105256853
Algeria,21999637
Ecuador,66630571
Egypt,285844459
Eritrea,-1113076
Canary Islands,
Spain,5227911
Estonia,12470092
Ethiopia,1421649545
Fiji,4602905
Falkland Islands,
Reunion,
Mayotte,
French Guiana,
Martinique,
Guadeloupe,
France,1464862
Faroe Islands,
Micronesia,302553791
Gabon,13844417
UK,244658
Georgia,495691015
Guernsey,
Ghana,307723748
Guinea,62034795
Gambia,4398110
Guinea-Bissau,3299809
Equatorial Guinea,335973
Greece,1347158
Grenada,991550
Greenland,
Guatemala,304130054
Guam,
Guyana,18365479
Heard Island,
Honduras,197701659
Croatia,14439801
Haiti,702753017
Hungary,32842750
Indonesia,425241264
Isle of Man,
India,261495537
Cocos Islands,
Christmas Island,
Chagos Archipelago,
Ireland,7389871
Iran,2064968
Iraq,817392816
Iceland,
Israel,6249503135
Italy,2758463
San Marino,
Jamaica,63406681
Jersey,
Jordan,2229268225
Japan,5583196
Siachen Glacier,
Kazakhstan,284994227
Kenya,1757291419
Kyrgyzstan,142055012
Cambodia,215972560
Kiribati,
Nevis,
Saint Kitts,
South Korea,2457582
Kosovo,133600340
Kuwait,92372
Laos,50370856
Lebanon,639875848
Liberia,456462263
Libya,70061408
Saint Lucia,
Liechtenstein,
Sri Lanka,81459320
Lesotho,108025026
Lithuania,18158581
Luxembourg,
Latvia,9766796
Saint Martin,
Morocco,170856475
Monaco,
Moldova,186466454
Madagascar,125564678
Maldives,4842109
Mexico,557646557
Marshall Islands,128170833
Macedonia,56725720
Mali,361809062
Malta,1602646
Myanmar,225938871
Montenegro,9798308
Mongolia,30992965
Northern Mariana Islands,
Mozambique,777992540
Mauritania,41288351
Montserrat,
Mauritius,2569586
Malawi,440212898
Malaysia,25398180
Namibia,231306565
New Caledonia,
Niger,217698383
Norfolk Island,
Nigeria,1165516940
Nicaragua,94025520
Niue,
Bonaire,
Sint Eustatius,
Saba,
Netherlands,80365
Norway,
Nepal,169303579
Nauru,
New Zealand,7154
Oman,26659268
Pakistan,1972822305
Panama,24522344
Pitcairn Islands,
Peru,304607830
Philippines,728003613
Palau,28769020
Papua New Guinea,14424130
Poland,93171533
Puerto Rico,
North Korea,3997348
Madeira Islands,
Azores,
Portugal,916654
Paraguay,36856601
Palestine,884730488
French Polynesia,
Qatar,3098
Romania,76362825
Russia,297186633
Rwanda,343709226
Western Sahara,
Saudi Arabia,713501
Sudan,412033512
South Sudan,1480315209
Senegal,389694501
Singapore,1040834
South Sandwich Islands,
South Georgia,
Saint Helena,
Ascension Island,
Solomon Islands,2817980
Sierra Leone,53212837
El Salvador,153467672
Somalia,699889670
Saint Pierre and Miquelon,
Serbia,75712324
Sao Tome and Principe,933472
Suriname,1453709
Slovakia,4589332
Slovenia,7086955
Sweden,45798
Swaziland,91046517
Sint Maarten,
Seychelles,552879
Syria,1581881739
Turks and Caicos Islands,
Chad,245554164
Togo,7650651
Thailand,132772482
Tajikistan,132816030
Turkmenistan,17402234
Timor-Leste,72044958
Tonga,3221962
Trinidad,
Tobago,
Tunisia,137888152
Turkey,190530825
Taiwan,2722516
Tanzania,1187669230
Uganda,1058084960
Ukraine,500475016
Uruguay,2884931
USA,
Uzbekistan,104348366
Vatican,
Grenadines,
Saint Vincent,
Venezuela,14047441
Virgin Islands,
Vietnam,240210318
Vanuatu,5726365
Wallis and Futuna,
Samoa,
Yemen,485596030
South Africa,1072163281
Zambia,1011659748
Zimbabwe,357528936
