"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,242,"GBR","United Kingdom",1,"England",1,"Barking and Dagenham","GB.BA",NA,"","London Borough","London Borough","",""
2,242,"GBR","United Kingdom",1,"England",2,"Bath and North East Somerset","GB.BN",NA,"","Unitary Authority","Unitary Authority","",""
3,242,"GBR","United Kingdom",1,"England",3,"Bedfordshire","GB.BD",NA,"","Administrative County","Administrative County","",""
4,242,"GBR","United Kingdom",1,"England",4,"Berkshire","GB.BK",NA,"","County","County","",""
5,242,"GBR","United Kingdom",1,"England",5,"Bexley","GB.XB",NA,"","London Borough","London Borough","",""
6,242,"GBR","United Kingdom",1,"England",6,"Blackburn with Darwen","GB.BW",NA,"","Unitary Authority","Unitary Authority","","Blackburn, Blackburn and Darwen"
7,242,"GBR","United Kingdom",1,"England",7,"Bournemouth","GB.BM",NA,"","Unitary Authority","Unitary Authority","",""
8,242,"GBR","United Kingdom",1,"England",8,"Brent","GB.BE",NA,"","London Borough","London Borough","",""
9,242,"GBR","United Kingdom",1,"England",9,"Brighton and Hove","GB.BH",NA,"","Unitary Authority","Unitary Authority","",""
10,242,"GBR","United Kingdom",1,"England",10,"Bristol","GB.BS",NA,"","Unitary Authority (city)","Unitary Authority (city)","",""
11,242,"GBR","United Kingdom",1,"England",11,"Bromley","GB.BZ",NA,"","London Borough","London Borough","",""
12,242,"GBR","United Kingdom",1,"England",12,"Buckinghamshire","GB.BU",NA,"","Administrative County","Administrative County","",""
13,242,"GBR","United Kingdom",1,"England",13,"Cambridgeshire","GB.CM",NA,"","Administrative County","Administrative County","",""
14,242,"GBR","United Kingdom",1,"England",14,"Camden","GB.CN",NA,"","London Borough","London Borough","",""
15,242,"GBR","United Kingdom",1,"England",15,"Cheshire","GB.CH",NA,"","Administrative County","Administrative County","",""
16,242,"GBR","United Kingdom",1,"England",16,"Cornwall","GB.CO",NA,"","Administrative County","Administrative County","","Cornouailles|Cornovaglia|Cornualha|Cornualles|Cornwall and Isles of Scilly"
17,242,"GBR","United Kingdom",1,"England",17,"Croydon","GB.CY",NA,"","London Borough","London Borough","",""
18,242,"GBR","United Kingdom",1,"England",18,"Cumbria","GB.CU",NA,"","Administrative County","Administrative County","",""
19,242,"GBR","United Kingdom",1,"England",19,"Darlington","GB.DA",NA,"","Unitary Authority","Unitary Authority","",""
20,242,"GBR","United Kingdom",1,"England",20,"Derbyshire","GB.DB",NA,"","Administrative County","Administrative County","",""
21,242,"GBR","United Kingdom",1,"England",21,"Derby","GB.DE",NA,"","Unitary Authority (city)","Unitary Authority (city)","",""
22,242,"GBR","United Kingdom",1,"England",22,"Devon","GB.DO",NA,"","Administrative County","Administrative County","",""
23,242,"GBR","United Kingdom",1,"England",23,"Dorset","GB.DS",NA,"","Administrative County","Administrative County","",""
24,242,"GBR","United Kingdom",1,"England",24,"Durham","GB.DH",NA,"","Administrative County","Administrative County","","County Durham"
25,242,"GBR","United Kingdom",1,"England",25,"Ealing","GB.EG",NA,"","London Borough","London Borough","",""
26,242,"GBR","United Kingdom",1,"England",26,"East Riding of Yorkshire","GB.EY",NA,"","Unitary Authority","Unitary Authority","","East Riding, East Yorkshire"
27,242,"GBR","United Kingdom",1,"England",27,"East Sussex","GB.ES",NA,"","Administrative County","Administrative County","",""
28,242,"GBR","United Kingdom",1,"England",28,"Enfield","GB.EF",NA,"","London Borough","London Borough","",""
29,242,"GBR","United Kingdom",1,"England",29,"Essex","GB.EX",NA,"","Administrative County","Administrative County","",""
30,242,"GBR","United Kingdom",1,"England",30,"Gloucestershire","GB.GC",NA,"","Administrative County","Administrative County","",""
31,242,"GBR","United Kingdom",1,"England",31,"Greenwich","GB.GR",NA,"","London Borough","London Borough","",""
32,242,"GBR","United Kingdom",1,"England",32,"Hackney","GB.HK",NA,"","London Borough","London Borough","",""
33,242,"GBR","United Kingdom",1,"England",33,"Halton","GB.HL",NA,"","Unitary Authority","Unitary Authority","",""
34,242,"GBR","United Kingdom",1,"England",34,"Hammersmith and Fulham","GB.HF",NA,"","London Borough","London Borough","",""
35,242,"GBR","United Kingdom",1,"England",35,"Hampshire","GB.HA",NA,"","Administrative County","Administrative County","","Southampton"
36,242,"GBR","United Kingdom",1,"England",36,"Haringey","GB.HY",NA,"","London Borough","London Borough","",""
37,242,"GBR","United Kingdom",1,"England",37,"Harrow","GB.HR",NA,"","London Borough","London Borough","",""
38,242,"GBR","United Kingdom",1,"England",38,"Hartlepool","GB.HP",NA,"","Unitary Authority","Unitary Authority","",""
39,242,"GBR","United Kingdom",1,"England",39,"Havering","GB.HV",NA,"","London Borough","London Borough","",""
40,242,"GBR","United Kingdom",1,"England",40,"Herefordshire","GB.HE",NA,"","Unitary Authority (county)","Unitary Authority (county)","",""
41,242,"GBR","United Kingdom",1,"England",41,"Hertfordshire","GB.HT",NA,"","Administrative County","Administrative County","",""
42,242,"GBR","United Kingdom",1,"England",42,"Hillingdon","GB.HD",NA,"","London Borough","London Borough","",""
43,242,"GBR","United Kingdom",1,"England",43,"Hounslow","GB.HU",NA,"","London Borough","London Borough","",""
44,242,"GBR","United Kingdom",1,"England",44,"Isle of Wight","GB.IW",NA,"","Unitary Authority","Unitary Authority","",""
45,242,"GBR","United Kingdom",1,"England",45,"Islington","GB.IT",NA,"","London Borough","London Borough","",""
46,242,"GBR","United Kingdom",1,"England",46,"Kensington and Chelsea","GB.KC",NA,"","London Borough (royal)","London Borough (royal)","",""
47,242,"GBR","United Kingdom",1,"England",47,"Kent","GB.KE",NA,"","Administrative County","Administrative County","",""
48,242,"GBR","United Kingdom",1,"England",48,"Kingston upon Hull","GB.KH",NA,"","Unitary Authority (city)","Unitary Authority (city)","","Hull"
49,242,"GBR","United Kingdom",1,"England",49,"Kingston upon Thames","GB.KT",NA,"","London Borough (royal)","London Borough (royal)","",""
50,242,"GBR","United Kingdom",1,"England",50,"Lambeth","GB.LT",NA,"","London Borough","London Borough","",""
51,242,"GBR","United Kingdom",1,"England",51,"Lancashire","GB.LA",NA,"","Administrative County","Administrative County","",""
52,242,"GBR","United Kingdom",1,"England",52,"Leicestershire","GB.LE",NA,"","Administrative County","Administrative County","",""
53,242,"GBR","United Kingdom",1,"England",53,"Leicester","GB.LC",NA,"","Unitary Authority (city)","Unitary Authority (city)","",""
54,242,"GBR","United Kingdom",1,"England",54,"Lewisham","GB.LW",NA,"","London Borough","London Borough","",""
55,242,"GBR","United Kingdom",1,"England",55,"Lincolnshire","GB.LI",NA,"","Administrative County","Administrative County","",""
56,242,"GBR","United Kingdom",1,"England",56,"London","GB.LN",NA,"","London Borough (city)","London Borough (city)","",""
57,242,"GBR","United Kingdom",1,"England",57,"Luton","GB.LU",NA,"","Unitary Authority","Unitary Authority","",""
58,242,"GBR","United Kingdom",1,"England",58,"Manchester","GB.MN",NA,"","Metropolitan Borough (city)","Metropolitan Borough (city)","",""
59,242,"GBR","United Kingdom",1,"England",59,"Medway","GB.MW",NA,"","Unitary Authority","Unitary Authority","","Medway Towns"
60,242,"GBR","United Kingdom",1,"England",60,"Merseyside","GB.MS",NA,"","Metropolitan County","Metropolitan County","",""
