"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,105,"IND","India",1,"Andaman and Nicobar","IN.AN",NA,"","Union Territor","Union Territory","","Andaman & Nicobar Islands|Andaman et Nicobar|Iihas de Andama e Nicobar|Inseln Andamanen und Nikobare"
2,105,"IND","India",2,"Andhra Pradesh","IN.AP",NA,"","State","State","",""
3,105,"IND","India",3,"Arunachal Pradesh","IN.AR",NA,"","State","State","","Agence de la Frontière du Nord-Est(French-obsolete)|North East Frontier Agency"
4,105,"IND","India",4,"Assam","IN.AS",NA,"","State","State","",""
5,105,"IND","India",5,"Bihar","IN.BR",NA,"","State","State","",""
6,105,"IND","India",6,"Chandigarh","IN.CH",NA,"","Union Territor","Union Territory","",""
7,105,"IND","India",7,"Chhattisgarh","IN.CT",NA,"","State","State","",""
8,105,"IND","India",8,"Dadra and Nagar Haveli","IN.DN",NA,"","Union Territor","Union Territory","","DAdra et Nagar Haveli|Dadra e Nagar Haveli"
9,105,"IND","India",9,"Daman and Diu","IN.DD",NA,"","Union Territor","Union Territory","",""
10,105,"IND","India",10,"Goa","IN.GA",NA,"","State","State","","Gôa"
11,105,"IND","India",11,"Gujarat","IN.GJ",NA,"","State","State","","Goudjerate|Gujerat|Gujerate"
12,105,"IND","India",12,"Haryana","IN.HR",NA,"","State","State","",""
13,105,"IND","India",13,"Himachal Pradesh","IN.HP",NA,"","Union Territor","Union Territory","",""
14,105,"IND","India",14,"Jammu and Kashmir","IN.JK",NA,"","State","State","",""
15,105,"IND","India",15,"Jharkhand","IN.JH",NA,"","State","State","","Vananchal"
16,105,"IND","India",16,"Karnataka","IN.KA",NA,"","State","State","","Maisur|Mysore"
17,105,"IND","India",17,"Kerala","IN.KL",NA,"","State","State","",""
18,105,"IND","India",18,"Lakshadweep","IN.LD",NA,"","Union Territor","Union Territory","","Íles Laquedives|Laccadive|Minicoy and Amindivi Islands|Laccadives|Lackadiverna|Lakkadiven|Lakkadi"
19,105,"IND","India",19,"Madhya Pradesh","IN.MP",NA,"","State","State","",""
20,105,"IND","India",20,"Maharashtra","IN.MH",NA,"","State","State","",""
21,105,"IND","India",21,"Manipur","IN.MN",NA,"","State","State","",""
22,105,"IND","India",22,"Meghalaya","IN.ML",NA,"","State","State","",""
23,105,"IND","India",23,"Mizoram","IN.MZ",NA,"","State","State","",""
24,105,"IND","India",24,"Nagaland","IN.NL",NA,"","State","State","",""
25,105,"IND","India",25,"NCT of Delhi","IN.DL",NA,"","Union Territor","Union Territory","",""
26,105,"IND","India",26,"Odisha","IN.OR",NA,"","State","State","",""
27,105,"IND","India",27,"Puducherry","IN.PY",NA,"","Union Territor","Union Territory","","Pondicherry|Puduchcheri|Pondichéry"
28,105,"IND","India",28,"Punjab","IN.PB",NA,"","State","State","",""
29,105,"IND","India",29,"Rajasthan","IN.RJ",NA,"","State","State","","Greater Rajasthan|Rajputana"
30,105,"IND","India",30,"Sikkim","IN.SK",NA,"","State","State","",""
31,105,"IND","India",31,"Tamil Nadu","IN.AP",NA,"","State","State","",""
32,105,"IND","India",31,"Tamil Nadu","IN.TN",NA,"","State","State","","Madras|Tamilnad"
33,105,"IND","India",32,"Telangana","IN.TG",NA,"","State","State","",""
34,105,"IND","India",33,"Tripura","IN.TR",NA,"","State","State","",""
35,105,"IND","India",34,"Uttar Pradesh","IN.UP",NA,"","State","State","","United Provinces"
36,105,"IND","India",35,"Uttarakhand","IN.UT",NA,"","State","State","","Uttarakhand"
37,105,"IND","India",36,"West Bengal","IN.WB",NA,"","State","State","","Bangla|Bengala Occidentale|Bengala Ocidental|Bengale occidental"
