"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,105,"IND","India",1,"Andaman and Nicobar",1,"Nicobar Islands","IN.AN.NI",NA,"","District","District","",""
2,105,"IND","India",1,"Andaman and Nicobar",2,"North and Middle Andaman","IN.AN.NM",NA,"","District","District","",""
3,105,"IND","India",1,"Andaman and Nicobar",3,"South Andaman","IN.AN.SA",NA,"","District","District","",""
4,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur","IN.AD.AN",NA,"","District","District","","Anantpur, Ananthapur"
5,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor","IN.AD.CH",NA,"","District","District","","Chitoor|Chittor"
6,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari","IN.AD.EG",NA,"","District","District","",""
7,105,"IND","India",2,"Andhra Pradesh",7,"Guntur","IN.AD.GU",NA,"","District","District","",""
8,105,"IND","India",2,"Andhra Pradesh",8,"Krishna","IN.AD.KR",NA,"","District","District","","Kistna"
9,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool","IN.AD.KU",NA,"","District","District","",""
10,105,"IND","India",2,"Andhra Pradesh",10,"Nellore","IN.AD.NE",NA,"","District","District","",""
11,105,"IND","India",2,"Andhra Pradesh",11,"Prakasam","IN.AD.PR",NA,"","District","District","",""
12,105,"IND","India",2,"Andhra Pradesh",12,"Srikakulam","IN.AD.SR",NA,"","District","District","","Srikakulum"
13,105,"IND","India",2,"Andhra Pradesh",13,"Visakhapatnam","IN.AD.VS",NA,"","District","District","","Fisakapatnam|Vizagapatam|Visakhapatnam"
14,105,"IND","India",2,"Andhra Pradesh",14,"Vizianagaram","IN.AD.VS",NA,"","District","District","","Vizianagram"
15,105,"IND","India",2,"Andhra Pradesh",15,"West Godavari","IN.AD.WG",NA,"","District","District","",""
16,105,"IND","India",2,"Andhra Pradesh",16,"Y.S.R."," ",NA,"","District","District","",""
17,105,"IND","India",3,"Arunachal Pradesh",17,"Anjaw","IN.AR.AJ",NA,"","District","District","","Lohit Frontier Division"
18,105,"IND","India",3,"Arunachal Pradesh",18,"Changlang","IN.AR.CH",NA,"","District","District","",""
19,105,"IND","India",3,"Arunachal Pradesh",19,"Dibang Valley","IN.AR.DV",NA,"","District","District","",""
20,105,"IND","India",3,"Arunachal Pradesh",20,"East Kameng","IN.AR.EK",NA,"","District","District","",""
21,105,"IND","India",3,"Arunachal Pradesh",21,"East Siang","IN.AR.ES",NA,"","District","District","",""
22,105,"IND","India",3,"Arunachal Pradesh",22,"Kurung Kumey","IN.AR.KK",NA,"","District","District","",""
23,105,"IND","India",3,"Arunachal Pradesh",23,"Lohit","IN.AR.LH",NA,"","District","District","","Lohit Frontier Division"
24,105,"IND","India",3,"Arunachal Pradesh",24,"Longding","",NA,"","District","District","","<Null>"
25,105,"IND","India",3,"Arunachal Pradesh",25,"Lower Dibang Valley","IN.AR.DL",NA,"","District","District","",""
26,105,"IND","India",3,"Arunachal Pradesh",26,"Lower Subansiri","IN.AR.LS",NA,"","District","District","",""
27,105,"IND","India",3,"Arunachal Pradesh",27,"Namsai","",NA,"","District","District","","<Null>"
28,105,"IND","India",3,"Arunachal Pradesh",28,"Papum Pare","IN.AR.PA",NA,"","District","District","",""
29,105,"IND","India",3,"Arunachal Pradesh",29,"Tawang","IN.AR.TA",NA,"","District","District","",""
30,105,"IND","India",3,"Arunachal Pradesh",30,"Tirap","IN.AR.TI",NA,"","District","District","","Tirap Frontier Tract"
31,105,"IND","India",3,"Arunachal Pradesh",31,"Upper Siang","IN.AR.US",NA,"","District","District","",""
32,105,"IND","India",3,"Arunachal Pradesh",32,"Upper Subansiri","IN.AR.UB",NA,"","District","District","",""
33,105,"IND","India",3,"Arunachal Pradesh",33,"West Kameng","IN.AR.WK",NA,"","District","District","",""
34,105,"IND","India",3,"Arunachal Pradesh",34,"West Siang","IN.AR.WS",NA,"","District","District","",""
35,105,"IND","India",4,"Assam",35,"Baksa","IN.AS.BK",NA,"","District","District","",""
36,105,"IND","India",4,"Assam",36,"Barpeta","IN.AS.BP",NA,"","District","District","",""
37,105,"IND","India",4,"Assam",37,"Bongaigaon","IN.AS.BG",NA,"","District","District","",""
38,105,"IND","India",4,"Assam",38,"Cachar","IN.AS.CA",NA,"","District","District","",""
39,105,"IND","India",4,"Assam",39,"Chirang","IN.AS.CH",NA,"","District","District","",""
40,105,"IND","India",4,"Assam",40,"Darrang","IN.AS.DR",NA,"","District","District","",""
41,105,"IND","India",4,"Assam",41,"Dhemaji","IN.AS.DM",NA,"","District","District","",""
42,105,"IND","India",4,"Assam",42,"Dhubri","IN.AS.DB",NA,"","District","District","",""
43,105,"IND","India",4,"Assam",43,"Dibrugarh","IN.AS.DI",NA,"","District","District","",""
44,105,"IND","India",4,"Assam",44,"Dima Hasao","",NA,"","District","District","",""
45,105,"IND","India",4,"Assam",45,"Goalpara","IN.AS.GP",NA,"","District","District","",""
46,105,"IND","India",4,"Assam",46,"Golaghat","IN.AS.GG",NA,"","District","District","",""
47,105,"IND","India",4,"Assam",47,"Hailakandi","IN.AS.HA",NA,"","District","District","",""
48,105,"IND","India",4,"Assam",48,"Jorhat","IN.AS.JO",NA,"","District","District","",""
49,105,"IND","India",4,"Assam",49,"Kamrup Metropolitan","IN.AS.KM",NA,"","District","District","","Kampur, Ramrup"
50,105,"IND","India",4,"Assam",50,"Kamrup","IN.AS.KU",NA,"","District","District","","Kampur, Ramrup"
51,105,"IND","India",4,"Assam",51,"Karbi Anglong","IN.AS.KA",NA,"","District","District","","Mikir Hills , Korbi Anglong"
52,105,"IND","India",4,"Assam",52,"Karimganj","IN.AS.KR",NA,"","District","District","",""
53,105,"IND","India",4,"Assam",53,"Kokrajhar","IN.AS.KJ",NA,"","District","District","",""
54,105,"IND","India",4,"Assam",54,"Lakhimpur","IN.AS.LA",NA,"","District","District","","North Lakhimpur, Lakhmipur, Lakimpur"
55,105,"IND","India",4,"Assam",55,"Morigaon","IN.AS.MA",NA,"","District","District","",""
56,105,"IND","India",4,"Assam",56,"Nagaon","IN.AS.NG",NA,"","District","District","","Nowgong"
57,105,"IND","India",4,"Assam",57,"Nalbari","IN.AS.NB",NA,"","District","District","",""
58,105,"IND","India",4,"Assam",58,"Sivasagar","IN.AS.SI",NA,"","District","District","","Sivasagar"
59,105,"IND","India",4,"Assam",59,"Sonitpur","IN.AS.SN",NA,"","District","District","","Sontipur"
60,105,"IND","India",4,"Assam",60,"Tinsukia","IN.AS.TI",NA,"","District","District","",""
61,105,"IND","India",4,"Assam",61,"Udalguri","IN.AS.UD",NA,"","District","District","",""
62,105,"IND","India",5,"Bihar",62,"Araria","IN.BR.AR",NA,"","District","District","",""
63,105,"IND","India",5,"Bihar",63,"Arwal","IN.BR.AW",NA,"","District","District","",""
64,105,"IND","India",5,"Bihar",64,"Aurangabad","IN.BR.AU",NA,"","District","District","",""
65,105,"IND","India",5,"Bihar",65,"Banka","IN.BR.BA",NA,"","District","District","",""
66,105,"IND","India",5,"Bihar",66,"Begusarai","IN.BR.BE",NA,"","District","District","",""
67,105,"IND","India",5,"Bihar",67,"Bhagalpur","IN.BR.BG",NA,"","District","District","","Bhagaipur"
68,105,"IND","India",5,"Bihar",68,"Bhojpur","IN.BR.BJ",NA,"","District","District","",""
69,105,"IND","India",5,"Bihar",69,"Buxar","IN.BR.BU",NA,"","District","District","",""
70,105,"IND","India",5,"Bihar",70,"Darbhanga","IN.BR.DA",NA,"","District","District","",""
71,105,"IND","India",5,"Bihar",71,"Gaya","IN.BR.GA",NA,"","District","District","",""
72,105,"IND","India",5,"Bihar",72,"Gopalganj","IN.BR.GO",NA,"","District","District","",""
73,105,"IND","India",5,"Bihar",73,"Jamui","IN.BR.JA",NA,"","District","District","","Zamui"
74,105,"IND","India",5,"Bihar",74,"Jehanabad","IN.BR.JH",NA,"","District","District","",""
75,105,"IND","India",5,"Bihar",75,"Kaimur","IN.BR.KM",NA,"","District","District","","Kaimur"
76,105,"IND","India",5,"Bihar",76,"Katihar","IN.BR.KT",NA,"","District","District","","Kathihar"
77,105,"IND","India",5,"Bihar",77,"Khagaria","IN.BR.KH",NA,"","District","District","",""
78,105,"IND","India",5,"Bihar",78,"Kishanganj","IN.BR.KI",NA,"","District","District","",""
79,105,"IND","India",5,"Bihar",79,"Lakhisarai","IN.BR.LA",NA,"","District","District","",""
80,105,"IND","India",5,"Bihar",80,"Madhepura","IN.BR.MP",NA,"","District","District","","Madhipura"
81,105,"IND","India",5,"Bihar",81,"Madhubani","IN.BR.MB",NA,"","District","District","",""
82,105,"IND","India",5,"Bihar",82,"Munger","IN.BR.MG",NA,"","District","District","","Monghyr"
83,105,"IND","India",5,"Bihar",83,"Muzaffarpur","IN.BR.MZ",NA,"","District","District","","Muzafarpur"
84,105,"IND","India",5,"Bihar",84,"Nalanda","IN.BR.NL",NA,"","District","District","",""
85,105,"IND","India",5,"Bihar",85,"Nawada","IN.BR.NW",NA,"","District","District","","Nawadah"
86,105,"IND","India",5,"Bihar",86,"Pashchim Champaran","IN.BR.WC",NA,"","District","District","","West Champaran, Paschimi Champaran, Paschim-Champaram"
87,105,"IND","India",5,"Bihar",87,"Patna","IN.BR.PA",NA,"","District","District","",""
88,105,"IND","India",5,"Bihar",88,"Purba Champaran","IN.BR.EC",NA,"","District","District","","East Champaran, Purbi Champaran, Purba Champaram"
89,105,"IND","India",5,"Bihar",89,"Purnia","IN.BR.PU",NA,"","District","District","","Purnea"
90,105,"IND","India",5,"Bihar",90,"Rohtas","IN.BR.RO",NA,"","District","District","",""
91,105,"IND","India",5,"Bihar",91,"Saharsa","IN.BR.SH",NA,"","District","District","",""
92,105,"IND","India",5,"Bihar",92,"Samastipur","IN.BR.SM",NA,"","District","District","",""
93,105,"IND","India",5,"Bihar",93,"Saran","IN.BR.SR",NA,"","District","District","",""
94,105,"IND","India",5,"Bihar",94,"Sheikhpura","IN.BR.SP",NA,"","District","District","",""
95,105,"IND","India",5,"Bihar",95,"Sheohar","IN.BR.SO",NA,"","District","District","",""
96,105,"IND","India",5,"Bihar",96,"Sitamarhi","IN.BR.ST",NA,"","District","District","",""
97,105,"IND","India",5,"Bihar",97,"Siwan","IN.BR.SW",NA,"","District","District","","Sivan"
98,105,"IND","India",5,"Bihar",98,"Supaul","IN.BR.SU",NA,"","District","District","",""
99,105,"IND","India",5,"Bihar",99,"Vaishali","IN.BR.VA",NA,"","District","District","",""
100,105,"IND","India",6,"Chandigarh",100,"Chandigarh","IN.CH.CH",NA,"","District","District","",""
101,105,"IND","India",7,"Chhattisgarh",101,"Baloda Bazar","",NA,"","District","District","",""
102,105,"IND","India",7,"Chhattisgarh",102,"Balod","",NA,"","District","District","",""
103,105,"IND","India",7,"Chhattisgarh",103,"Balrampur","IN.CT.BP",NA,"","District","District","",""
104,105,"IND","India",7,"Chhattisgarh",104,"Bastar","IN.CT.BT",NA,"","District","District","","Baster"
105,105,"IND","India",7,"Chhattisgarh",105,"Bemetara","",NA,"","District","District","",""
106,105,"IND","India",7,"Chhattisgarh",106,"Bijapur","IN.CT.BJ",NA,"","District","District","",""
107,105,"IND","India",7,"Chhattisgarh",107,"Bilaspur","IN.CT.BI",NA,"","District","District","",""
108,105,"IND","India",7,"Chhattisgarh",108,"Dantewada","IN.CT.DW",NA,"","District","District","",""
109,105,"IND","India",7,"Chhattisgarh",109,"Dhamtari","IN.CT.DH",NA,"","District","District","",""
110,105,"IND","India",7,"Chhattisgarh",110,"Durg","IN.CT.DU",NA,"","District","District","",""
111,105,"IND","India",7,"Chhattisgarh",111,"Gariaband","",NA,"","District","District","",""
112,105,"IND","India",7,"Chhattisgarh",112,"Janjgir-Champa","IN.CT.JC",NA,"","District","District","","Janjgir"
113,105,"IND","India",7,"Chhattisgarh",113,"Jashpur","IN.CT.JA",NA,"","District","District","",""
114,105,"IND","India",7,"Chhattisgarh",114,"Kabeerdham","",NA,"","District","District","","Kabirdham|Kabeerdham"
115,105,"IND","India",7,"Chhattisgarh",115,"Kondagaon","",NA,"","District","District","","<Null>"
116,105,"IND","India",7,"Chhattisgarh",116,"Korba","IN.CT.KB",NA,"","District","District","",""
117,105,"IND","India",7,"Chhattisgarh",117,"Koriya","IN.CT.KJ",NA,"","District","District","",""
118,105,"IND","India",7,"Chhattisgarh",118,"Mahasamund","IN.CT.MA",NA,"","District","District","",""
119,105,"IND","India",7,"Chhattisgarh",119,"Mungeli","IN.CT.MG",NA,"","District","District","",""
120,105,"IND","India",7,"Chhattisgarh",120,"Narayanpur","IN.CT.NA",NA,"","District","District","","<Null>"
121,105,"IND","India",7,"Chhattisgarh",121,"Raigarh","IN.CT.RG",NA,"","District","District","",""
122,105,"IND","India",7,"Chhattisgarh",122,"Raipur","IN.CT.RP",NA,"","District","District","",""
123,105,"IND","India",7,"Chhattisgarh",123,"Rajnandgaon","IN.CT.RN",NA,"","District","District","",""
124,105,"IND","India",7,"Chhattisgarh",124,"Sukma","",NA,"","District","District","",""
125,105,"IND","India",7,"Chhattisgarh",125,"Surajpur","",NA,"","District","District","",""
126,105,"IND","India",7,"Chhattisgarh",126,"Surguja","IN.CT.SU",NA,"","District","District","",""
127,105,"IND","India",7,"Chhattisgarh",127,"Uttar Bastar Kanker"," ",NA,"","District","District","",""
128,105,"IND","India",8,"Dadra and Nagar Haveli",128,"Dadra and Nagar Haveli","IN.DN.DN",NA,"","District","District","",""
129,105,"IND","India",9,"Daman and Diu",129,"Daman","IN.DD.DA",NA,"","District","District","",""
130,105,"IND","India",9,"Daman and Diu",130,"Diu","IN.DD.DI",NA,"","District","District","",""
131,105,"IND","India",10,"Goa",131,"North Goa","IN.GA.NG",NA,"","District","District","",""
132,105,"IND","India",10,"Goa",132,"South Goa","IN.GA.SG",NA,"","District","District","",""
133,105,"IND","India",11,"Gujarat",133,"Ahmadabad","IN.GJ.AH",NA,"","District","District","",""
134,105,"IND","India",11,"Gujarat",134,"Amreli","IN.GJ.AM",NA,"","District","District","","Amereli"
135,105,"IND","India",11,"Gujarat",135,"Anand","IN.GJ.AN",NA,"","District","District","",""
136,105,"IND","India",11,"Gujarat",136,"Aravalli","",NA,"","District","District","","<Null>"
137,105,"IND","India",11,"Gujarat",137,"Banas Kantha","IN.GJ.BK",NA,"","District","District","","Banaskantha, Palanpur"
138,105,"IND","India",11,"Gujarat",138,"Bharuch","IN.GJ.BR",NA,"","District","District","",""
139,105,"IND","India",11,"Gujarat",139,"Bhavnagar","IN.GJ.BV",NA,"","District","District","","Bhaunagar"
140,105,"IND","India",11,"Gujarat",140,"Botad","",NA,"","District","District","","<Null>"
141,105,"IND","India",11,"Gujarat",141,"Chhota Udaipur","",NA,"","District","District","","<Null>"
142,105,"IND","India",11,"Gujarat",142,"Dahod","IN.GJ.DA",NA,"","District","District","","Dohad"
143,105,"IND","India",11,"Gujarat",143,"Devbhumi Dwarka","",NA,"","District","District","",""
144,105,"IND","India",11,"Gujarat",144,"Gandhinagar","IN.GJ.GA",NA,"","District","District","",""
145,105,"IND","India",11,"Gujarat",145,"Gir Somnath","",NA,"","District","District","",""
146,105,"IND","India",11,"Gujarat",146,"Jamnagar","IN.GJ.JA",NA,"","District","District","",""
147,105,"IND","India",11,"Gujarat",147,"Junagadh","IN.GJ.JU",NA,"","District","District","",""
148,105,"IND","India",11,"Gujarat",148,"Kachchh","IN.GJ.KA",NA,"","District","District","","Kutch"
149,105,"IND","India",11,"Gujarat",149,"Kheda","IN.GJ.KH",NA,"","District","District","","Kaira"
150,105,"IND","India",11,"Gujarat",150,"Mahesana","IN.GJ.MA",NA,"","District","District","","Mehasana, Mehsana"
151,105,"IND","India",11,"Gujarat",151,"Mahisagar","",NA,"","District","District","","<Null>"
152,105,"IND","India",11,"Gujarat",152,"Morbi","",NA,"","District","District","",""
153,105,"IND","India",11,"Gujarat",153,"Narmada","IN.GJ.NR",NA,"","District","District","",""
154,105,"IND","India",11,"Gujarat",154,"Navsari","IN.GJ.NV",NA,"","District","District","",""
155,105,"IND","India",11,"Gujarat",155,"Panch Mahals","IN.GJ.PM",NA,"","District","District","","Godhra, Panchmahal"
156,105,"IND","India",11,"Gujarat",156,"Patan","IN.GJ.PA",NA,"","District","District","",""
157,105,"IND","India",11,"Gujarat",157,"Porbandar","IN.GJ.PO",NA,"","District","District","",""
158,105,"IND","India",11,"Gujarat",158,"Rajkot","IN.GJ.RA",NA,"","District","District","",""
159,105,"IND","India",11,"Gujarat",159,"Sabar Kantha","IN.GJ.SK",NA,"","District","District","","Sabarkantha, Himatnagar"
160,105,"IND","India",11,"Gujarat",160,"Surat","IN.GJ.SR",NA,"","District","District","",""
161,105,"IND","India",11,"Gujarat",161,"Surendranagar","IN.GJ.SN",NA,"","District","District","",""
162,105,"IND","India",11,"Gujarat",162,"Tapi","IN.GJ.TP",NA,"","District","District","",""
163,105,"IND","India",11,"Gujarat",163,"The Dangs","IN.GJ.DG",NA,"","District","District","","Dangs"
164,105,"IND","India",11,"Gujarat",164,"Vadodara","IN.GJ.VD",NA,"","District","District","","Baroda"
165,105,"IND","India",11,"Gujarat",165,"Valsad","IN.GJ.VL",NA,"","District","District","","Bulsar|Walsad"
166,105,"IND","India",12,"Haryana",166,"Ambala","IN.HR.AM",NA,"","District","District","",""
167,105,"IND","India",12,"Haryana",167,"Bhiwani","IN.HR.BH",NA,"","District","District","",""
168,105,"IND","India",12,"Haryana",168,"Faridabad","IN.HR.FD",NA,"","District","District","",""
169,105,"IND","India",12,"Haryana",169,"Fatehabad","IN.HR.FT",NA,"","District","District","",""
170,105,"IND","India",12,"Haryana",170,"Gurgaon","IN.HR.GG",NA,"","District","District","",""
171,105,"IND","India",12,"Haryana",171,"Hisar","IN.HR.HI",NA,"","District","District","",""
172,105,"IND","India",12,"Haryana",172,"Jhajjar","IN.HR.JH",NA,"","District","District","",""
173,105,"IND","India",12,"Haryana",173,"Jind","IN.HR.JI",NA,"","District","District","",""
174,105,"IND","India",12,"Haryana",174,"Kaithal","IN.HR.KT",NA,"","District","District","",""
175,105,"IND","India",12,"Haryana",175,"Karnal","IN.HR.KR",NA,"","District","District","",""
176,105,"IND","India",12,"Haryana",176,"Kurukshetra","IN.HR.KU",NA,"","District","District","",""
177,105,"IND","India",12,"Haryana",177,"Mahendragarh","IN.HR.MA",NA,"","District","District","","Mahendergarh, Mahendragarth, Mohindargarh, Mohindergarh"
178,105,"IND","India",12,"Haryana",178,"Mewat","IN.HR.MW",NA,"","District","District","",""
179,105,"IND","India",12,"Haryana",179,"Palwal","IN.HR.PW",NA,"","District","District","",""
180,105,"IND","India",12,"Haryana",180,"Panchkula","IN.HR.PK",NA,"","District","District","",""
181,105,"IND","India",12,"Haryana",181,"Panipat","IN.HR.PP",NA,"","District","District","",""
182,105,"IND","India",12,"Haryana",182,"Rewari","IN.HR.RE",NA,"","District","District","",""
183,105,"IND","India",12,"Haryana",183,"Rohtak","IN.HR.RO",NA,"","District","District","",""
184,105,"IND","India",12,"Haryana",184,"Sirsa","IN.HR.SI",NA,"","District","District","","Sirasa"
185,105,"IND","India",12,"Haryana",185,"Sonipat","IN.HR.SO",NA,"","District","District","","Sonipat"
186,105,"IND","India",12,"Haryana",186,"Yamunanagar","IN.HR.YN",NA,"","District","District","",""
187,105,"IND","India",13,"Himachal Pradesh",187,"Bilaspur","IN.HP.BI",NA,"","District","District","",""
188,105,"IND","India",13,"Himachal Pradesh",188,"Chamba","IN.HP.CH",NA,"","District","District","",""
189,105,"IND","India",13,"Himachal Pradesh",189,"Hamirpur","IN.HP.HA",NA,"","District","District","",""
190,105,"IND","India",13,"Himachal Pradesh",190,"Kangra","IN.HP.KA",NA,"","District","District","",""
191,105,"IND","India",13,"Himachal Pradesh",191,"Kinnaur","IN.HP.KI",NA,"","District","District","","Kalpa"
192,105,"IND","India",13,"Himachal Pradesh",192,"Kullu","IN.HP.KU",NA,"","District","District","",""
193,105,"IND","India",13,"Himachal Pradesh",193,"Lahul & Spiti","IN.HP.LS",NA,"","District","District","",""
194,105,"IND","India",13,"Himachal Pradesh",194,"Mandi","IN.HP.MA",NA,"","District","District","",""
195,105,"IND","India",13,"Himachal Pradesh",195,"Shimla","IN.HP.SH",NA,"","District","District","","Simla"
196,105,"IND","India",13,"Himachal Pradesh",196,"Sirmaur","IN.HP.SI",NA,"","District","District","","Sirmour|Sirmoor|Sirmur"
197,105,"IND","India",13,"Himachal Pradesh",197,"Solan","IN.HP.SO",NA,"","District","District","",""
198,105,"IND","India",13,"Himachal Pradesh",198,"Una","IN.HP.UN",NA,"","District","District","",""
199,105,"IND","India",14,"Jammu and Kashmir",199,"Anantnag","IN.JK.AG",NA,"","District","District","",""
200,105,"IND","India",14,"Jammu and Kashmir",200,"Badgam","IN.JK.BD",NA,"","District","District","",""
201,105,"IND","India",14,"Jammu and Kashmir",201,"Bandipore","IN.JK.BP",NA,"","District","District","",""
202,105,"IND","India",14,"Jammu and Kashmir",202,"Baramulla","IN.JK.BL",NA,"","District","District","",""
203,105,"IND","India",14,"Jammu and Kashmir",203,"Doda","IN.JK.DD",NA,"","District","District","",""
204,105,"IND","India",14,"Jammu and Kashmir",204,"Ganderbal","IN.JK.GA",NA,"","District","District","",""
205,105,"IND","India",14,"Jammu and Kashmir",205,"Jammu","IN.JK.JM",NA,"","District","District","",""
206,105,"IND","India",14,"Jammu and Kashmir",206,"Kargil","IN.JK.KR",NA,"","District","District","",""
207,105,"IND","India",14,"Jammu and Kashmir",207,"Kathua","IN.JK.KA",NA,"","District","District","",""
208,105,"IND","India",14,"Jammu and Kashmir",208,"Kishtwar","IN.JK.KW",NA,"","District","District","",""
209,105,"IND","India",14,"Jammu and Kashmir",209,"Kulgam","IN.JK.KG",NA,"","District","District","",""
210,105,"IND","India",14,"Jammu and Kashmir",210,"Kupwara","IN.JK.KU",NA,"","District","District","",""
211,105,"IND","India",14,"Jammu and Kashmir",211,"Leh (Ladakh)","IN.JK.LE",NA,"","District","District","",""
212,105,"IND","India",14,"Jammu and Kashmir",212,"Poonch","IN.JK.PO",NA,"","District","District","","Punch"
213,105,"IND","India",14,"Jammu and Kashmir",213,"Pulwama","IN.JK.PW",NA,"","District","District","",""
214,105,"IND","India",14,"Jammu and Kashmir",214,"Rajouri","IN.JK.RA",NA,"","District","District","",""
215,105,"IND","India",14,"Jammu and Kashmir",215,"Ramban","IN.JK.RB",NA,"","District","District","",""
216,105,"IND","India",14,"Jammu and Kashmir",216,"Reasi","IN.JK.RE",NA,"","District","District","",""
217,105,"IND","India",14,"Jammu and Kashmir",217,"Samba","IN.JK.SM",NA,"","District","District","",""
218,105,"IND","India",14,"Jammu and Kashmir",218,"Shupiyan","IN.JK.SH",NA,"","District","District","",""
219,105,"IND","India",14,"Jammu and Kashmir",219,"Srinagar","IN.JK.SN",NA,"","District","District","",""
220,105,"IND","India",14,"Jammu and Kashmir",220,"Udhampur","IN.JK.UM",NA,"","District","District","",""
221,105,"IND","India",15,"Jharkhand",221,"Bokaro","IN.JH.BO",NA,"","District","District","",""
222,105,"IND","India",15,"Jharkhand",222,"Chatra","IN.JH.CH",NA,"","District","District","",""
223,105,"IND","India",15,"Jharkhand",223,"Deoghar","IN.JH.DE",NA,"","District","District","","Devghar"
224,105,"IND","India",15,"Jharkhand",224,"Dhanbad","IN.JH.DH",NA,"","District","District","",""
225,105,"IND","India",15,"Jharkhand",225,"Dumka","IN.JH.DM",NA,"","District","District","","Santhal Pargana, Santal Parganas"
226,105,"IND","India",15,"Jharkhand",226,"Garhwa","IN.JH.GA",NA,"","District","District","",""
227,105,"IND","India",15,"Jharkhand",227,"Giridih","IN.JH.GI",NA,"","District","District","",""
228,105,"IND","India",15,"Jharkhand",228,"Godda","IN.JH.GO",NA,"","District","District","","Goodda"
229,105,"IND","India",15,"Jharkhand",229,"Gumla","IN.JH.GM",NA,"","District","District","",""
230,105,"IND","India",15,"Jharkhand",230,"Hazaribagh","IN.JH.HZ",NA,"","District","District","",""
231,105,"IND","India",15,"Jharkhand",231,"Jamtara","IN.JH.JA",NA,"","District","District","",""
232,105,"IND","India",15,"Jharkhand",232,"Khunti","IN.JH.KH",NA,"","District","District","",""
233,105,"IND","India",15,"Jharkhand",233,"Kodarma","IN.JH.KO",NA,"","District","District","",""
234,105,"IND","India",15,"Jharkhand",234,"Latehar","IN.JH.LA",NA,"","District","District","",""
235,105,"IND","India",15,"Jharkhand",235,"Lohardaga","IN.JH.LO",NA,"","District","District","","Lohargada"
236,105,"IND","India",15,"Jharkhand",236,"Pakur","IN.JH.PK",NA,"","District","District","",""
237,105,"IND","India",15,"Jharkhand",237,"Palamu","IN.JH.PM",NA,"","District","District","",""
238,105,"IND","India",15,"Jharkhand",238,"Pashchimi Singhbhum","IN.JH.WS",NA,"","District","District","","Singhbhum West"
239,105,"IND","India",15,"Jharkhand",239,"Purbi Singhbhum","IN.JH.ES",NA,"","District","District","","Singhbhum East"
240,105,"IND","India",15,"Jharkhand",240,"Ramgarh","IN.JH.RM",NA,"","District","District","",""
241,105,"IND","India",15,"Jharkhand",241,"Ranchi","IN.JH.RN",NA,"","District","District","",""
242,105,"IND","India",15,"Jharkhand",242,"Sahibganj","IN.JH.SA",NA,"","District","District","",""
243,105,"IND","India",15,"Jharkhand",243,"Saraikela-kharsawan","IN.JH.SK",NA,"","District","District","",""
244,105,"IND","India",15,"Jharkhand",244,"Simdega","IN.JH.SD",NA,"","District","District","",""
245,105,"IND","India",16,"Karnataka",245,"Bagalkot","IN.KA.BK",NA,"","District","District","",""
246,105,"IND","India",16,"Karnataka",246,"Bangalore Rural","IN.KA.BU",NA,"","District","District","",""
247,105,"IND","India",16,"Karnataka",247,"Bangalore","IN.KA.BN",NA,"","District","District","",""
248,105,"IND","India",16,"Karnataka",248,"Belgaum","IN.KA.BG",NA,"","District","District","",""
249,105,"IND","India",16,"Karnataka",249,"Bellary","IN.KA.BL",NA,"","District","District","",""
250,105,"IND","India",16,"Karnataka",250,"Bidar","IN.KA.BD",NA,"","District","District","",""
251,105,"IND","India",16,"Karnataka",251,"Bijapur","IN.KA.BJ",NA,"","District","District","",""
252,105,"IND","India",16,"Karnataka",252,"Chamrajnagar","IN.KA.CJ",NA,"","District","District","",""
253,105,"IND","India",16,"Karnataka",253,"Chikballapura","IN.KA.CB",NA,"","District","District","",""
254,105,"IND","India",16,"Karnataka",254,"Chikmagalur","IN.KA.CK",NA,"","District","District","","Chikmaglur|Kadur"
255,105,"IND","India",16,"Karnataka",255,"Chitradurga","IN.KA.CT",NA,"","District","District","","Chitaldroog|Chitaldrug"
256,105,"IND","India",16,"Karnataka",256,"Dakshina Kannada","IN.KA.DK",NA,"","District","District","",""
257,105,"IND","India",16,"Karnataka",257,"Davanagere","IN.KA.DA",NA,"","District","District","",""
258,105,"IND","India",16,"Karnataka",258,"Dharwad","IN.KA.DH",NA,"","District","District","","Dhawad, Dharwar"
259,105,"IND","India",16,"Karnataka",259,"Gadag","IN.KA.GA",NA,"","District","District","",""
260,105,"IND","India",16,"Karnataka",260,"Gulbarga","IN.KA.GB",NA,"","District","District","",""
261,105,"IND","India",16,"Karnataka",261,"Hassan","IN.KA.HS",NA,"","District","District","",""
262,105,"IND","India",16,"Karnataka",262,"Haveri","IN.KA.HV",NA,"","District","District","",""
