"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,244,"USA","United States",1,"Alabama","US.AL",NA,"","State","State","","AL|Ala."
2,244,"USA","United States",2,"Alaska","US.AK",NA,"","State","State","","AK|Alaska"
3,244,"USA","United States",2,"Alaska","US.AK",NA,"","State","State","","AK|Alaska"
4,244,"USA","United States",3,"Arizona","US.AZ",NA,"","State","State","","AZ|Ariz."
5,244,"USA","United States",4,"Arkansas","US.AR",NA,"","State","State","","AR|Ark."
6,244,"USA","United States",5,"California","US.CA",NA,"","State","State","","CA|Calif."
7,244,"USA","United States",6,"Colorado","US.CO",NA,"","State","State","","CO|Colo."
8,244,"USA","United States",7,"Connecticut","US.CT",NA,"","State","State","","CT|Conn."
9,244,"USA","United States",8,"Delaware","US.DE",NA,"","State","State","","DE|Del."
10,244,"USA","United States",9,"District of Columbia","US.DC",NA,"","Federal District","Federal District","","DC|D.C."
11,244,"USA","United States",10,"Florida","US.FL",NA,"","State","State","","FL|Fla."
12,244,"USA","United States",11,"Georgia","US.GA",NA,"","State","State","","GA|Ga."
13,244,"USA","United States",12,"Hawaii","US.HI",NA,"","State","State","","HI|Hawaii"
14,244,"USA","United States",13,"Idaho","US.ID",NA,"","State","State","","ID|Idaho"
15,244,"USA","United States",14,"Illinois","US.IL",NA,"","State","State","","IL|Ill."
16,244,"USA","United States",15,"Indiana","US.IN",NA,"","State","State","","IN|Ind."
17,244,"USA","United States",16,"Iowa","US.IA",NA,"","State","State","","IA|Iowa"
18,244,"USA","United States",17,"Kansas","US.KS",NA,"","State","State","","KS|Kans."
19,244,"USA","United States",18,"Kentucky","US.KY",NA,"","State","State","","Commonwealth of Kentucky|KY"
20,244,"USA","United States",19,"Louisiana","US.LA",NA,"","State","State","","LA"
21,244,"USA","United States",20,"Maine","US.ME",NA,"","State","State","","ME|Maine"
22,244,"USA","United States",21,"Maryland","US.MD",NA,"","State","State","","MD"
23,244,"USA","United States",22,"Massachusetts","US.MA",NA,"","State","State","","Commonwealth of Massachusetts|MA|Mass."
24,244,"USA","United States",23,"Michigan","US.MI",NA,"","State","State","","MI|Mich."
25,244,"USA","United States",24,"Minnesota","US.MN",NA,"","State","State","","MN|Minn."
26,244,"USA","United States",25,"Mississippi","US.MS",NA,"","State","State","","MS|Miss."
27,244,"USA","United States",26,"Missouri","US.MO",NA,"","State","State","","MO"
28,244,"USA","United States",27,"Montana","US.MT",NA,"","State","State","","MT|Mont."
29,244,"USA","United States",28,"Nebraska","US.NE",NA,"","State","State","","NE|Nebr."
30,244,"USA","United States",29,"Nevada","US.NV",NA,"","State","State","","NV|Nev."
31,244,"USA","United States",30,"New Hampshire","US.NH",NA,"","State","State","","NH|N.H."
32,244,"USA","United States",31,"New Jersey","US.NJ",NA,"","State","State","","NJ|N.J."
33,244,"USA","United States",32,"New Mexico","US.NM",NA,"","State","State","","NM|N.M."
34,244,"USA","United States",33,"New York","US.NY",NA,"","State","State","","NY|N.Y."
35,244,"USA","United States",34,"North Carolina","US.NC",NA,"","State","State","","NC|N.C."
36,244,"USA","United States",35,"North Dakota","US.ND",NA,"","State","State","","ND|N.D."
37,244,"USA","United States",36,"Ohio","US.OH",NA,"","State","State","","OH|Ohio"
38,244,"USA","United States",37,"Oklahoma","US.OK",NA,"","State","State","","OK|Okla."
39,244,"USA","United States",38,"Oregon","US.OR",NA,"","State","State","","OR|Ore."
40,244,"USA","United States",39,"Pennsylvania","US.PA",NA,"","State","State","","Commonwealth of Pennsylvania|PA"
41,244,"USA","United States",40,"Rhode Island","US.RI",NA,"","State","State","","State of Rhode Island and Providence Plantations|RI|R.I."
42,244,"USA","United States",41,"South Carolina","US.SC",NA,"","State","State","","SC|S.C."
43,244,"USA","United States",42,"South Dakota","US.SD",NA,"","State","State","","SD|S.D."
44,244,"USA","United States",43,"Tennessee","US.TN",NA,"","State","State","","TN|Tenn."
45,244,"USA","United States",44,"Texas","US.TX",NA,"","State","State","","TX|Tex."
46,244,"USA","United States",45,"Utah","US.UT",NA,"","State","State","","UT"
47,244,"USA","United States",46,"Vermont","US.VT",NA,"","State","State","","VT"
48,244,"USA","United States",47,"Virginia","US.VA",NA,"","State","State","","VA"
49,244,"USA","United States",48,"Washington","US.WA",NA,"","State","State","","WA|Wash."
50,244,"USA","United States",49,"West Virginia","US.WV",NA,"","State","State","","WV|W.Va."
51,244,"USA","United States",50,"Wisconsin","US.WI",NA,"","State","State","","WI|Wis."
52,244,"USA","United States",51,"Wyoming","US.WY",NA,"","State","State","","WY|Wyo."
