lianjia_addressinfo,gaode_addressinfo,longitude,latitude,unit_price
国展苑一期 ,国展苑,114.118748,22.595281,34204
万科四季花城一期 ,万科四季花城1期,114.058393,22.625149,52739
嘉葆润金座 ,嘉葆润金座,114.047756,22.523889,81760
THETOWN乐城 ,乐城(坳牌路),114.224351,22.675946,44997
中海康城国际一期 ,温氏生鲜(中海康城店),114.208973,22.709994,41165
玉湖湾 ,玉湖湾,113.848762,22.572542,67595
泰华阳光海小区 ,泰华阳光海,113.856489,22.572504,70608
万象新天 ,万象新天,113.849503,22.603327,60513
泰安花园 ,泰安花园,113.886699,22.565333,43860
中熙香缇湾 ,香缇湾花园,113.858994,22.575653,70029
中信红树湾南区 ,中信红树湾2期,113.964819,22.525872,103302
龙珠花园 ,龙珠花园,114.1246,22.602495,36593
金海湾花园 ,金海湾花园,114.032187,22.519839,68323
缤纷假日豪园 ,缤纷假日,113.927818,22.520407,66923
森雅谷润筑园 ,森雅谷,114.228074,22.676384,33568
凯伦花园 ,凯伦花园,114.063129,22.565365,44293
金汐府 ,骏泰金汐府,114.291121,22.729551,31377
诺德假日花园 ,诺德假日花园,113.903114,22.509892,91130
阳光里雅居 ,阳光里,113.927352,22.525297,88988
金海岸大厦 ,金海岸大厦,113.928492,22.51434,63080
鸣泉居 ,鸣泉居,114.012043,22.548327,104324
松坪村西区三期 ,松坪村3期西区,113.955295,22.559367,65633
城市花园 ,城市花园(龙福路),114.239675,22.726866,28524
龙珠花园 ,龙珠花园,114.1246,22.602495,35061
海滨城广场 ,海滨广场,113.891489,22.562697,46425
碧海富通城一期 ,富通城1期,113.858569,22.564221,52584
碧涛居 ,碧涛居花园,113.915198,22.571807,61960
今日家园 ,今日家园(东昌路),114.136134,22.581274,67287
星河世纪 ,星河世纪,114.067475,22.537812,77882
蔚蓝海岸南山4期 ,蔚蓝海岸(北4门),113.936553,22.509681,93358
大信花园 ,大信花园(中环路),114.021391,22.649079,37445
皇御苑一期 ,皇御苑1期,114.076609,22.527364,52099
佳兆业城市广场一期 ,佳兆业·城市广场1期,114.075496,22.660771,54748
景源华庭 ,景源华庭,114.067526,22.524873,60173
花样年花郡 ,花样年·花郡,113.882082,22.564032,74513
海富花园 ,海富花园,114.137131,22.545623,39427
金城大厦 ,金城大厦,114.121829,22.543001,41648
万科城四期 ,万科城4期,114.06773,22.646647,49980
佳兆业可园四期 ,佳兆业可园4期,114.134948,22.601034,50418
蜜园 ,蜜园,114.043187,22.523905,60171
万科第五园九期 ,五园万科里,114.073192,22.617412,59867
星河时代 ,星河时代,114.227132,22.692819,53353
华丽花园 ,华丽花园(华丽路),114.134042,22.550327,49492
松茂御龙湾 ,松茂·御龙湾,113.853356,22.573996,69538
水晶之城 ,水晶之城,114.225134,22.669706,34821
信义嘉御山 ,信义·嘉御山,114.058528,22.635734,55796
泰华俊庭 ,泰华俊庭,113.894407,22.563639,59755
中海怡翠山庄四期 ,中海怡翠山庄4期,114.110002,22.623493,41030
佳兆业可园六期 ,佳兆业可园6期,114.134604,22.597722,49264
南岭花园 ,南岭花园,114.141536,22.602186,30674
万科公园6号 ,万科.公园里花园4期,114.15725,22.608511,47769
假日湾 ,假日湾,113.977732,22.53961,74235
万科四季花城二期 ,万科四季花城2期,114.05698,22.62237,54603
海连大厦 ,海连大厦,114.070217,22.544417,62507
华润城润府一期 ,华润城润府1期,113.954383,22.548143,104975
华茂苑 ,华茂苑,114.057891,22.563534,52735
圣莫丽斯花园B区 ,广东省深圳市龙华区圣莫丽斯花园,114.028793,22.600742,84336
大世纪水山缘 ,大世纪·水山缘,114.140929,22.599355,39788
红树绿洲 ,红树绿洲,114.05178,22.508798,61865
公园大地四期 ,公园大地,114.233629,22.710795,53706
益田村 ,益田村(公交站),114.052216,22.516085,61212
颐林雅院 ,颐林雅院,114.058039,22.571927,54946
金泓凯旋城一期 ,星艺少儿语言表演中心,113.89801,22.54798,76196
莱蒙水榭春天三期 ,莱蒙水榭春天3期,114.024911,22.627694,73265
南园枫叶国际广场 ,南园枫叶国际广场,113.921219,22.516255,60946
嘉鑫阳光雅居 ,嘉鑫阳光,114.046721,22.571546,68582
尚书苑 ,尚书苑,114.037626,22.562898,63358
联城美园 ,联城美园,114.128579,22.543493,53302
国展苑一期 ,国展苑,114.118748,22.595281,37236
新天地名居 ,新天地名居(北斗路),114.134079,22.544389,54033
花样年花乡 ,花样年·花乡,113.883,22.565057,69432
碧海富通城三期 ,碧海富通城3期,113.85511,22.566576,59668
佳兆业城市广场一期 ,佳兆业·城市广场1期,114.075496,22.660771,52735
美丽湾国际公寓 ,美丽湾B座,113.921266,22.511224,64572
信义御城豪园 ,信义御城豪园,114.212845,22.650627,37564
中海康城国际一期 ,温氏生鲜(中海康城店),114.208973,22.709994,41007
康达尔花园四期 ,康达尔花园4期,114.136879,22.615961,43946
信义假日名城六期溢芳园 ,溢芳园,114.12319,22.59586,46317
麒麟花园 ,麒麟花园B区,113.928486,22.545187,83887
