Station_Title,Subway_Num,Operation,Station
罗湖,1,1,罗湖地铁站
国贸,1,1,国贸地铁站
老街,1,1,老街地铁站
大剧院,1,1,大剧院地铁站
科学馆,1,1,科学馆地铁站
华强路,1,1,华强路地铁站
岗厦,1,1,岗厦地铁站
会展中心,1,1,会展中心地铁站
购物公园,1,1,购物公园地铁站
香蜜湖,1,1,香蜜湖地铁站
车公庙,1,1,车公庙地铁站
竹子林,1,1,竹子林地铁站
侨城东,1,1,侨城东地铁站
华侨城,1,1,华侨城地铁站
世界之窗,1,1,世界之窗地铁站
白石洲,1,1,白石洲地铁站
高新园,1,1,高新园地铁站
深大,1,1,深大地铁站
桃园,1,1,桃园地铁站
大新,1,1,大新地铁站
鲤鱼门,1,1,鲤鱼门地铁站
前海湾,1,1,前海湾地铁站
新安,1,1,新安地铁站
宝安中心,1,1,宝安中心地铁站
宝体,1,1,宝体地铁站
坪洲,1,1,坪洲地铁站
西乡,1,1,西乡地铁站
固戍,1,1,固戍地铁站
后瑞,1,1,后瑞地铁站
机场东,1,1,机场东地铁站
赤湾,2,1,赤湾地铁站
蛇口港,2,1,蛇口港地铁站
海上世界,2,1,海上世界地铁站
水湾,2,1,水湾地铁站
东角头,2,1,东角头地铁站
湾厦,2,1,湾厦地铁站
海月,2,1,海月地铁站
登良,2,1,登良地铁站
后海,2,1,后海地铁站
科苑,2,1,科苑地铁站
红树湾,2,1,红树湾地铁站
世界之窗,2,1,世界之窗地铁站
侨城北,2,1,侨城北地铁站
深康,2,1,深康地铁站
安托山,2,1,安托山地铁站
侨香,2,1,侨香地铁站
香蜜,2,1,香蜜地铁站
香梅北,2,1,香梅北地铁站
景田,2,1,景田地铁站
莲花西,2,1,莲花西地铁站
福田,2,1,福田地铁站
市民中心,2,1,市民中心地铁站
岗厦北,2,1,岗厦北地铁站
华强北,2,1,华强北地铁站
燕南,2,1,燕南地铁站
大剧院,2,1,大剧院地铁站
湖贝,2,1,湖贝地铁站
黄贝岭,2,1,黄贝岭地铁站
新秀,2,1,新秀地铁站
益田,3,1,益田地铁站
石厦,3,1,石厦地铁站
购物公园,3,1,购物公园地铁站
福田,3,1,福田地铁站
少年宫,3,1,少年宫地铁站
莲花村,3,1,莲花村地铁站
华新,3,1,华新地铁站
通新岭,3,1,通新岭地铁站
红岭,3,1,红岭地铁站
老街,3,1,老街地铁站
晒布,3,1,晒布地铁站
翠竹,3,1,翠竹地铁站
田贝,3,1,田贝地铁站
水贝,3,1,水贝地铁站
草埔,3,1,草埔地铁站
布吉,3,1,布吉地铁站
木棉湾,3,1,木棉湾地铁站
大芬,3,1,大芬地铁站
丹竹头,3,1,丹竹头地铁站
六约,3,1,六约地铁站
塘坑,3,1,塘坑地铁站
横岗,3,1,横岗地铁站
永湖,3,1,永湖地铁站
荷坳,3,1,荷坳地铁站
大运,3,1,大运地铁站
爱联,3,1,爱联地铁站
吉祥,3,1,吉祥地铁站
龙城广场,3,1,龙城广场地铁站
南联,3,1,南联地铁站
双龙,3,1,双龙地铁站
清湖,4,1,清湖地铁站
龙华,4,1,龙华地铁站
龙胜,4,1,龙胜地铁站
上塘,4,1,上塘地铁站
红山,4,1,红山地铁站
深圳北站,4,1,深圳北站地铁站
白石龙,4,1,白石龙地铁站
民乐,4,1,民乐地铁站
上梅林,4,1,上梅林地铁站
莲花北,4,1,莲花北地铁站
少年宫,4,1,少年宫地铁站
市民中心,4,1,市民中心地铁站
会展中心,4,1,会展中心地铁站
福民,4,1,福民地铁站
福田口岸,4,1,福田口岸地铁站
黄贝岭,5,1,黄贝岭地铁站
怡景,5,1,怡景地铁站
太安,5,1,太安地铁站
布心,5,1,布心地铁站
百鸽笼,5,1,百鸽笼地铁站
布吉,5,1,布吉地铁站
长龙,5,1,长龙地铁站
下水径,5,1,下水径地铁站
上水径,5,1,上水径地铁站
杨美,5,1,杨美地铁站
坂田,5,1,坂田地铁站
五和,5,1,五和地铁站
民治,5,1,民治地铁站
深圳北站,5,1,深圳北站地铁站
长岭陂,5,1,长岭陂地铁站
塘朗,5,1,塘朗地铁站
大学城,5,1,大学城地铁站
西丽,5,1,西丽地铁站
留仙洞,5,1,留仙洞地铁站
兴东,5,1,兴东地铁站
洪浪北,5,1,洪浪北地铁站
灵芝,5,1,灵芝地铁站
翻身,5,1,翻身地铁站
宝安中心,5,1,宝安中心地铁站
宝华,5,1,宝华地铁站
临海,5,1,临海地铁站
前海湾,5,1,前海湾地铁站
西丽湖,7,1,西丽湖地铁站
西丽,7,1,西丽地铁站
茶光,7,1,茶光地铁站
珠光,7,1,珠光地铁站
龙井,7,1,龙井地铁站
桃源村,7,1,桃源村地铁站
深云,7,1,深云地铁站
安托山,7,1,安托山地铁站
农林,7,1,农林地铁站
车公庙,7,1,车公庙地铁站
上沙,7,1,上沙地铁站
沙尾,7,1,沙尾地铁站
石厦,7,1,石厦地铁站
皇岗村,7,1,皇岗村地铁站
福民,7,1,福民地铁站
皇岗口岸,7,1,皇岗口岸地铁站
赤尾,7,1,赤尾地铁站
华强南,7,1,华强南地铁站
华强北,7,1,华强北地铁站
华新,7,1,华新地铁站
黄木岗,7,1,黄木岗地铁站
八卦岭,7,1,八卦岭地铁站
红岭北,7,1,红岭北地铁站
笋岗,7,1,笋岗地铁站
洪湖,7,1,洪湖地铁站
田贝,7,1,田贝地铁站
太安,7,1,太安地铁站
红树湾南,9,1,红树湾南地铁站
深湾,9,1,深湾地铁站
深圳湾公园,9,1,深圳湾公园地铁站
下沙,9,1,下沙地铁站
车公庙,9,1,车公庙地铁站
香梅,9,1,香梅地铁站
景田,9,1,景田地铁站
梅景,9,1,梅景地铁站
下梅林,9,1,下梅林地铁站
梅村,9,1,梅村地铁站
上梅林,9,1,上梅林地铁站
孖岭,9,1,孖岭地铁站
银湖,9,1,银湖地铁站
泥岗,9,1,泥岗地铁站
红岭北,9,1,红岭北地铁站
园岭,9,1,园岭地铁站
红岭,9,1,红岭地铁站
红岭南,9,1,红岭南地铁站
鹿丹村,9,1,鹿丹村地铁站
人民南,9,1,人民南地铁站
向西村,9,1,向西村地铁站
文锦,9,1,文锦地铁站
福田,11,1,福田地铁站
车公庙,11,1,车公庙地铁站
红树湾南,11,1,红树湾南地铁站
后海,11,1,后海地铁站
南山,11,1,南山地铁站
前海湾,11,1,前海湾地铁站
宝安,11,1,宝安地铁站
碧海湾,11,1,碧海湾地铁站
机场,11,1,机场地铁站
机场北,11,1,机场北地铁站
福永,11,1,福永地铁站
桥头,11,1,桥头地铁站
塘尾,11,1,塘尾地铁站
马安山,11,1,马安山地铁站
沙井,11,1,沙井地铁站
后亭,11,1,后亭地铁站
松岗,11,1,松岗地铁站
碧头,11,1,碧头地铁站
