Station_Title,Subway_Num,Operation,long,lat,x,y,Station1,Station2,Subway_Num2,Unit_Price
罗湖,1,1,114.118666,22.532083,0.773876404,0.236641221,罗湖地铁站,罗湖(地铁站),1号线(罗宝线),50129.5313
国贸,1,1,114.118909,22.53968,0.773876404,0.320610687,国贸地铁站,国贸(地铁站),1号线(罗宝线),50129.5313
老街,1,1,114.116939,22.544232,0.773876404,0.452290076,老街地铁站,老街(地铁站),1号线(罗宝线),50306.99841
大剧院,1,1,114.107811,22.5418,0.723314607,0.393129771,大剧院地铁站,大剧院(地铁站),1号线(罗宝线),51748.37618
科学馆,1,1,114.094946,22.540618,0.672752809,0.339694656,科学馆地铁站,科学馆(地铁站),1号线(罗宝线),55005.78541
华强路,1,1,114.085133,22.540459,0.654494382,0.339694656,华强路地铁站,华强路(地铁站),1号线(罗宝线),59602.01856
岗厦,1,1,114.06819,22.534854,0.598314607,0.339694656,岗厦地铁站,岗厦(地铁站),1号线(罗宝线),62766.14952
会展中心,1,1,114.061101,22.534769,0.55758427,0.33778626,会展中心地铁站,会展中心(地铁站),1号线(罗宝线),61612.79315
购物公园,1,1,114.054581,22.534655,0.528089888,0.33778626,购物公园地铁站,购物公园(地铁站),1号线(罗宝线),60839.94624
香蜜湖,1,1,114.038637,22.538887,0.497191011,0.33778626,香蜜湖地铁站,香蜜湖(地铁站),1号线(罗宝线),61806.9234
车公庙,1,1,114.02583,22.536247,0.460674157,0.33778626,车公庙地铁站,车公庙(地铁站),1号线(罗宝线),62675.22686
竹子林,1,1,114.013917,22.533357,0.411516854,0.33778626,竹子林地铁站,竹子林(地铁站),1号线(罗宝线),63430.14485
侨城东,1,1,113.996651,22.532406,0.384831461,0.33778626,侨城东地铁站,侨城东(地铁站),1号线(罗宝线),74767.11111
华侨城,1,1,113.985369,22.533489,0.356741573,0.33778626,华侨城地铁站,华侨城(地铁站),1号线(罗宝线),83754.12821
世界之窗,1,1,113.974216,22.5369,0.320224719,0.33778626,世界之窗地铁站,世界之窗(地铁站),1号线(罗宝线),86336.35437
