City,Female,Male
Acapulco,2565.51,2595.8
Bellingham,453.36,539.27
Beverly Hills,5050.46,5269.71
Bremerton,5269.89,5705
Camacho,3643.3,2154.15
Guadalajara,290.99,232.33
Hidalgo,7361.04,3951.73
Los Angeles,6014.64,6281.53
Merida,4770.14,3970.31
Mexico City,1255.17,1233.14
Orizaba,3531.85,2713.37
Portland,5612.43,6314.17
Salem,9416.67,8795.17
San Andres,3458.54,4747.51
San Diego,5800.65,5569.12
San Francisco,392.54,351.76
Seattle,6561.9,5590.49
Spokane,5835.68,5398.36
Tacoma,8467.8,8363.35
Vancouver,3973.95,4691.05
Victoria,1151.91,1250.12
Walla Walla,488.42,676.18
Yakima,2158.89,2911.08
