date,min.temperaturec,max.temperaturec,mean.temperaturec
2014/1/1,5,13,9
2014/1/2,6,17,12
2014/1/3,7,18,12
2014/1/4,6,19,13
2014/1/5,7,19,13
2014/1/6,7,16,11
2014/1/7,8,16,12
2014/1/8,11,15,13
2014/1/9,11,16,13
2014/1/10,9,16,12
2014/1/11,8,14,11
2014/1/12,8,16,12
2014/1/13,6,19,13
2014/1/14,7,22,14
2014/1/15,9,23,16
2014/1/16,8,23,16
2014/1/17,7,19,13
2014/1/18,6,19,13
2014/1/19,6,19,13
2014/1/20,6,19,13
2014/1/21,6,20,13
2014/1/22,7,18,13
2014/1/23,7,21,14
2014/1/24,8,18,13
2014/1/25,9,18,14
2014/1/26,9,19,14
2014/1/27,9,15,12
2014/1/28,12,18,15
2014/1/29,12,17,15
2014/1/30,11,14,13
2014/1/31,8,16,12
2014/2/1,6,15,11
2014/2/2,8,14,12
2014/2/3,8,13,11
2014/2/4,7,13,10
2014/2/5,6,13,9
2014/2/6,9,11,10
2014/2/7,11,13,12
2014/2/8,12,15,13
2014/2/9,13,15,14
2014/2/10,11,14,12
2014/2/11,9,13,12
2014/2/12,8,13,11
2014/2/13,10,19,15
2014/2/14,13,19,16
2014/2/15,11,17,14
2014/2/16,10,17,14
2014/2/17,8,16,12
2014/2/18,9,17,13
2014/2/19,11,17,14
2014/2/20,7,19,13
2014/2/21,8,21,14
2014/2/22,8,19,13
2014/2/23,8,17,13
2014/2/24,7,22,14
2014/2/25,9,17,13
2014/2/26,12,16,14
2014/2/27,13,18,16
2014/2/28,12,16,14
2014/3/1,12,17,14
2014/3/2,11,16,13
2014/3/3,10,16,13
2014/3/4,12,17,14
2014/3/5,13,20,17
2014/3/6,12,17,15
2014/3/7,9,18,14
2014/3/8,9,19,14
2014/3/9,14,22,18
2014/3/10,13,19,16
2014/3/11,13,21,17
2014/3/12,14,22,18
2014/3/13,12,24,18
2014/3/14,12,21,16
2014/3/15,11,24,18
2014/3/16,11,20,16
2014/3/17,11,19,15
2014/3/18,9,22,16
2014/3/19,9,23,16
2014/3/20,11,21,16
2014/3/21,9,18,14
2014/3/22,8,18,13
2014/3/23,9,18,14
2014/3/24,9,22,16
2014/3/25,9,17,13
2014/3/26,12,17,14
2014/3/27,12,18,16
2014/3/28,13,22,17
2014/3/29,12,16,14
2014/3/30,10,16,13
2014/3/31,9,14,12
2014/4/1,9,15,12
2014/4/2,8,16,12
2014/4/3,9,18,14
2014/4/4,11,16,13
2014/4/5,10,17,14
2014/4/6,10,23,17
2014/4/7,13,28,21
2014/4/8,13,26,19
2014/4/9,11,18,14
2014/4/10,9,22,16
2014/4/11,12,18,15
2014/4/12,11,19,15
2014/4/13,12,22,17
2014/4/14,11,20,16
2014/4/15,11,18,15
2014/4/16,11,23,17
2014/4/17,12,18,15
2014/4/18,11,17,14
2014/4/19,11,17,14
2014/4/20,11,26,18
2014/4/21,11,21,16
2014/4/22,11,17,14
2014/4/23,11,19,15
2014/4/24,13,19,16
2014/4/25,11,23,17
2014/4/26,9,17,13
2014/4/27,12,18,15
2014/4/28,11,21,16
2014/4/29,12,30,21
2014/4/30,16,32,24
2014/5/1,17,30,23
2014/5/2,12,23,18
2014/5/3,13,19,16
2014/5/4,14,20,17
2014/5/5,13,19,16
2014/5/6,11,19,16
2014/5/7,11,18,14
2014/5/8,12,18,16
2014/5/9,12,19,16
2014/5/10,11,19,16
2014/5/11,11,24,17
2014/5/12,11,29,20
2014/5/13,15,33,24
2014/5/14,17,33,25
2014/5/15,14,29,22
2014/5/16,13,22,18
2014/5/17,14,19,17
2014/5/18,14,20,17
2014/5/19,13,20,17
2014/5/20,13,22,18
2014/5/21,13,22,18
2014/5/22,12,21,17
