"","MXSPD","Location"
"8035",15,"Adelaide"
"8036",18.1,"Adelaide"
"8037",16.9,"Adelaide"
"8038",18.1,"Adelaide"
"8039",16.9,"Adelaide"
"8040",15.9,"Adelaide"
"8041",15,"Adelaide"
"8042",18.1,"Adelaide"
"8043",19,"Adelaide"
"8044",15.9,"Adelaide"
"8045",19,"Adelaide"
"8046",19,"Adelaide"
"8047",15,"Adelaide"
"8048",11.1,"Adelaide"
"8049",11.1,"Adelaide"
"8050",13,"Adelaide"
"8051",15.9,"Adelaide"
"8052",14,"Adelaide"
"8053",16.9,"Adelaide"
"8054",14,"Adelaide"
"8055",20,"Adelaide"
"8056",22.9,"Adelaide"
"8057",20,"Adelaide"
"8058",15,"Adelaide"
"8059",15,"Adelaide"
"8060",20,"Adelaide"
"8061",20,"Adelaide"
"8062",15,"Adelaide"
"8063",18.1,"Adelaide"
"8064",21,"Adelaide"
"8065",16.9,"Adelaide"
"8066",16.9,"Adelaide"
"8067",15,"Adelaide"
"8068",16.9,"Adelaide"
"8069",15,"Adelaide"
"8070",15.9,"Adelaide"
"8071",21,"Adelaide"
"8072",15.9,"Adelaide"
"8073",22,"Adelaide"
"8074",20,"Adelaide"
"8075",16.9,"Adelaide"
"8076",15.9,"Adelaide"
"8077",15.9,"Adelaide"
"8078",21,"Adelaide"
"8079",19,"Adelaide"
"8080",14,"Adelaide"
"8081",16.9,"Adelaide"
"8082",15.9,"Adelaide"
"8083",16.9,"Adelaide"
"8084",18.1,"Adelaide"
"8085",15,"Adelaide"
"8086",16.9,"Adelaide"
"8087",12,"Adelaide"
"8088",19,"Adelaide"
"8089",16.9,"Adelaide"
"8090",15.9,"Adelaide"
"8091",16.9,"Adelaide"
"8092",15.9,"Adelaide"
"8093",15.9,"Adelaide"
"8094",15,"Adelaide"
"8095",21,"Adelaide"
"8096",15,"Adelaide"
"8097",15.9,"Adelaide"
"8098",18.1,"Adelaide"
"8099",15,"Adelaide"
"8100",20,"Adelaide"
"8101",11.1,"Adelaide"
"8102",12,"Adelaide"
"8103",12,"Adelaide"
"8104",15,"Adelaide"
"8105",20,"Adelaide"
"8106",15,"Adelaide"
"8107",16.9,"Adelaide"
"8108",18.1,"Adelaide"
"8109",16.9,"Adelaide"
"8110",11.1,"Adelaide"
"8111",15,"Adelaide"
"8112",15,"Adelaide"
"8113",15,"Adelaide"
"8114",18.1,"Adelaide"
"8115",13,"Adelaide"
"8116",12,"Adelaide"
"8117",15.9,"Adelaide"
"8118",15.9,"Adelaide"
"8119",18.1,"Adelaide"
"8120",16.9,"Adelaide"
"8121",14,"Adelaide"
"8122",20,"Adelaide"
"8123",16.9,"Adelaide"
"8124",20,"Adelaide"
"8125",15,"Adelaide"
"8126",14,"Adelaide"
"8127",14,"Adelaide"
"8128",26,"Adelaide"
"8129",27,"Adelaide"
"8130",19,"Adelaide"
"8131",15,"Adelaide"
"8132",13,"Adelaide"
"8133",13,"Adelaide"
"8134",15.9,"Adelaide"
"8135",21,"Adelaide"
"8136",11.1,"Adelaide"
"8137",15.9,"Adelaide"
"8138",21,"Adelaide"
"8139",14,"Adelaide"
"8140",18.1,"Adelaide"
"8141",19,"Adelaide"
"8142",20,"Adelaide"
"8143",22.9,"Adelaide"
"8144",22,"Adelaide"
"8145",15.9,"Adelaide"
"8146",9.9,"Adelaide"
"8147",8.9,"Adelaide"
