date,value
2000/1/1,26
2000/2/1,29
2000/3/1,34
2000/4/1,31
2000/5/1,21
2000/6/1,26
2000/7/1,25
2000/8/1,30
2000/9/1,13
2000/10/1,10
2000/11/1,8
2000/12/1,7
2001/1/1,11
2001/2/1,9
2001/3/1,11
2001/4/1,13
2001/5/1,10
2001/6/1,12
2001/7/1,9
2001/8/1,9
2001/9/1,8
2001/10/1,9
2001/11/1,11
2001/12/1,11
2002/1/1,12
2002/2/1,11
2002/3/1,12
2002/4/1,12
2002/5/1,12
2002/6/1,9
2002/7/1,8
2002/8/1,7
2002/9/1,7
2002/10/1,8
2002/11/1,8
2002/12/1,7
2003/1/1,7
2003/2/1,8
2003/3/1,7
2003/4/1,7
2003/5/1,9
2003/6/1,10
2003/7/1,11
2003/8/1,11
2003/9/1,10
2003/10/1,11
2003/11/1,10
2003/12/1,11
2004/1/1,11
2004/2/1,12
2004/3/1,14
2004/4/1,13
2004/5/1,14
2004/6/1,16
2004/7/1,16
2004/8/1,17
2004/9/1,19
2004/10/1,26
2004/11/1,34
2004/12/1,32
2005/1/1,38
2005/2/1,45
2005/3/1,42
2005/4/1,36
2005/5/1,40
2005/6/1,37
2005/7/1,43
2005/8/1,47
2005/9/1,54
2005/10/1,58
2005/11/1,68
2005/12/1,72
2006/1/1,76
2006/2/1,68
2006/3/1,63
2006/4/1,70
2006/5/1,60
2006/6/1,57
2006/7/1,68
2006/8/1,68
2006/9/1,77
2006/10/1,81
2006/11/1,92
2006/12/1,85
2007/1/1,86
2007/2/1,85
2007/3/1,93
2007/4/1,100
2007/5/1,121
2007/6/1,122
2007/7/1,132
2007/8/1,138
2007/9/1,153
2007/10/1,190
2007/11/1,182
2007/12/1,198
2008/1/1,135
2008/2/1,125
2008/3/1,144
2008/4/1,174
2008/5/1,189
2008/6/1,167
2008/7/1,159
2008/8/1,170
2008/9/1,114
2008/10/1,108
2008/11/1,93
2008/12/1,85
2009/1/1,90
2009/2/1,89
2009/3/1,105
2009/4/1,126
2009/5/1,136
2009/6/1,142
2009/7/1,163
2009/8/1,168
2009/9/1,185
2009/10/1,189
2009/11/1,200
2009/12/1,211
2010/1/1,192
2010/2/1,205
2010/3/1,223
