date,AMZN,AAPL
2000/1/1,69,25.94
2000/2/1,67,28.66
2000/3/1,55,33.95
2000/4/1,48,31.01
2000/5/1,36,21
2000/6/1,30,26.19
2000/7/1,41.5,25.41
2000/8/1,38,30.47
2000/9/1,37,12.88
2000/10/1,25,9.78
2000/11/1,16,8.25
2000/12/1,17,7.44
2001/1/1,10,10.81
2001/2/1,10.23,9.12
2001/3/1,16,11.03
2001/4/1,17,12.74
2001/5/1,14,9.98
2001/6/1,12,11.62
2001/7/1,9,9.4
2001/8/1,6,9.27
2001/9/1,6.98,7.76
2001/10/1,11,8.78
2001/11/1,11,10.65
2001/12/1,14,10.95
2002/1/1,14,12.36
2002/2/1,14,10.85
2002/3/1,17,11.84
2002/4/1,18.23,12.14
2002/5/1,16,11.65
2002/6/1,14,8.86
2002/7/1,15,7.63
2002/8/1,16,7.38
2002/9/1,19,7.25
2002/10/1,23,8.03
2002/11/1,18.89,7.75
2002/12/1,22,7.16
2003/1/1,22,7.18
2003/2/1,26,7.51
2003/3/1,29,7.07
2003/4/1,36,7.11
2003/5/1,36,8.98
2003/6/1,41.64,9.53
2003/7/1,46,10.54
2003/8/1,48,11.31
2003/9/1,54,10.36
2003/10/1,54,11.44
2003/11/1,53,10.45
2003/12/1,50,10.69
2004/1/1,43.01,11.28
2004/2/1,43,11.96
2004/3/1,44,13.52
2004/4/1,49,12.89
2004/5/1,54,14.03
2004/6/1,39,16.27
2004/7/1,38,16.17
2004/8/1,40.86,17.25
2004/9/1,34,19.38
2004/10/1,40,26.2
2004/11/1,44,33.53
2004/12/1,43,32.2
2005/1/1,35,38.45
2005/2/1,34,44.86
2005/3/1,32.36,41.67
2005/4/1,36,36.06
2005/5/1,33,39.76
2005/6/1,45,36.81
2005/7/1,43,42.65
2005/8/1,45,46.89
2005/9/1,40,53.61
2005/10/1,48.46,57.59
2005/11/1,47,67.82
2005/12/1,45,71.89
2006/1/1,37,75.51
2006/2/1,37,68.49
2006/3/1,35,62.72
2006/4/1,35,70.39
2006/5/1,38.68,59.77
2006/6/1,27,57.27
2006/7/1,31,67.96
2006/8/1,32,67.85
2006/9/1,38,76.98
2006/10/1,40,81.08
2006/11/1,39,91.66
2006/12/1,37.67,84.84
2007/1/1,39,85.73
2007/2/1,40,84.61
2007/3/1,61,92.91
2007/4/1,69,99.8
2007/5/1,68,121.19
2007/6/1,79,122.04
2007/7/1,79.91,131.76
2007/8/1,93,138.48
2007/9/1,89,153.47
2007/10/1,91,189.95
2007/11/1,93,182.22
2007/12/1,78,198.08
2008/1/1,64,135.36
2008/2/1,71.3,125.02
2008/3/1,79,143.5
2008/4/1,82,173.95
2008/5/1,73,188.75
2008/6/1,76,167.44
2008/7/1,81,158.95
2008/8/1,73,169.53
2008/9/1,57.24,113.66
2008/10/1,43,107.59
2008/11/1,51,92.67
2008/12/1,59,85.35
2009/1/1,65,90.13
2009/2/1,73,89.31
2009/3/1,81,105.12
2009/4/1,77.99,125.83
2009/5/1,84,135.81
2009/6/1,86,142.43
2009/7/1,81,163.39
2009/8/1,93,168.21
2009/9/1,119,185.35
2009/10/1,136,188.5
2009/11/1,134.52,199.91
2009/12/1,125,210.73
2010/1/1,118,192.06
2010/2/1,129,204.62
