Date,North_America,Africa,South_America,Asia,Europe
2002/6/30,23,7.9,7.9,13.2,9.3
2002/7/30,19.9,7.5,7.1,12.5,8.5
2002/8/30,21,7.9,7.6,12.5,8
2002/9/30,22.1,5.9,8.3,13.9,8.2
2002/10/30,25.1,6.1,9.4,14.4,10.7
2002/11/30,27,6,9.7,14.1,12.3
2002/12/30,19.8,8.7,10.2,12.2,10.7
2003/1/30,19.9,8.8,10.3,12.5,11.4
2003/2/28,19.4,8.6,10.2,12.2,11.4
2003/3/30,21.6,6,8.6,13.3,10.9
2003/4/30,24.4,6.4,9.3,12.9,11.5
2003/5/30,24.7,6.5,8.9,12.8,12.1
2003/6/30,23.5,7.1,8.2,12.5,8.1
2003/7/30,23.4,6.6,8.3,12.2,8.2
2003/8/30,24.6,6.5,7.8,11.8,8.5
2003/9/30,24.9,2.8,8,10.5,8
2003/10/30,27.4,3,8.8,10.9,9.4
2003/11/30,26.5,2.9,8.5,11,9.1
2003/12/30,26.7,1.6,9.6,11.2,10.5
2004/1/30,27.1,1.6,10,11.9,10.7
2004/2/29,28.7,1.7,10.6,12.5,10.7
2004/3/30,31.6,2,9.3,11.4,13.2
2004/4/30,30.9,2,8.9,11.5,12.7
2004/5/30,31.6,2.1,9.1,11.4,13.4
2004/6/30,28.7,3.9,9.9,11.6,12.4
2004/7/30,26.9,3.8,9.8,11.2,11.9
2004/8/30,27.3,4,10.6,11.8,12.1
2004/9/30,34.4,3.8,10.9,11.5,12
2004/10/30,34.8,3.6,10.9,11,12.1
2004/11/30,35.6,3.5,10.9,10.9,12.7
2004/12/30,33.6,5.7,10.6,13.6,9.1
2005/1/30,32,5.7,10,13.1,8.8
2005/2/28,31.2,5.5,9.7,13.1,8.8
2005/3/30,31.1,4.8,9.6,13,11.7
2005/4/30,29.7,4.5,9.4,13.3,11.1
2005/5/30,31.5,4.6,9.8,13.5,12
2005/6/30,31.8,4.4,12.1,12.8,10.7
2005/7/30,33,4.5,12.1,12.9,10.8
