time,a,b,c,d,e,f,g,h,i,j,k,l,m,n
1,19,745,734,1000,236,125,228,655,353,782,274,154,430,239
2,25,812,694,1023,223,112,240,587,349,779,232,173,409,262
3,17,669,739,983,192,140,226,623,381,789,247,152,311,213
4,20,447,736,793,191,95,197,517,329,658,240,135,269,218
5,27,397,685,821,190,131,195,561,423,675,254,73,370,206
6,13,389,621,837,183,102,216,545,452,833,225,109,603,188
7,16,384,708,792,228,144,190,636,478,786,202,77,545,222
8,23,446,685,853,198,143,213,584,450,675,187,110,583,186
9,25,386,667,791,231,130,187,559,398,636,220,124,408,213
10,39,417,693,739,153,96,224,504,339,691,161,113,391,226
11,11,482,672,701,129,117,184,547,351,694,217,192,384,273
12,20,580,653,715,168,151,200,564,293,639,167,196,365,178
13,11,836,911,908,194,161,232,734,428,806,197,188,463,194
14,27,826,902,990,189,109,235,724,423,821,243,193,298,209
15,14,683,954,1037,193,148,211,652,456,817,200,267,355,181
16,24,596,855,820,232,148,232,655,341,744,220,140,369,216
17,34,478,903,875,178,164,191,652,390,731,172,109,361,206
18,26,443,956,955,242,163,249,694,476,821,246,130,525,187
19,17,447,1054,833,236,206,289,731,513,813,228,113,548,191
20,18,522,1023,928,226,210,256,790,595,767,241,141,540,243
21,23,489,996,936,214,219,268,810,455,900,225,101,438,256
22,32,535,1065,941,321,233,281,910,486,903,239,118,429,247
23,20,670,1108,1046,302,241,320,946,516,935,256,145,420,234
24,27,785,1172,1074,310,275,258,921,483,938,277,192,419,249
25,33,1211,1377,1212,368,263,267,1120,586,947,304,195,486,263
26,35,1060,1296,1264,331,279,318,973,590,973,339,187,508,250
27,28,1009,1367,1269,313,266,287,964,540,976,314,269,477,217
28,33,855,1322,1222,280,257,292,951,493,953,268,151,447,255
29,25,626,1194,1138,257,260,340,983,533,1022,264,89,484,264
30,35,593,1187,1240,274,255,373,1079,638,1034,335,89,561,246
31,19,594,1185,1132,270,264,345,1075,671,999,356,114,645,249
32,32,654,1108,1170,221,270,343,926,660,884,353,125,596,271
33,42,615,1076,1171,235,231,299,1007,562,885,281,92,530,266
34,36,680,1046,1212,262,211,312,962,517,956,272,97,499,275
35,32,758,1115,1242,233,220,337,1029,493,978,284,137,468,297
36,45,941,1188,1150,243,255,322,1038,558,922,241,120,446,327
37,54,1196,1302,1342,331,243,327,1112,559,1049,304,159,571,324
