reading,math,writing,"percent graduates
sat","pupil staff
ratio","dropout
rate"
501,515,493,46,7.9,4.4
557,552,549,7,6.7,2.3
520,516,492,46,7.9,7.3
516,521,497,26,10.4,7.6
572,572,556,5,6.8,4.6
500,513,498,49,10.9,5.5
568,575,555,20,8.1,6.9
509,513,512,83,6.6,2.1
495,498,484,71,7.9,5.5
466,451,461,79,6.3,7.1
497,498,480,59,8.1,3.8
490,491,479,71,7,4.6
479,502,469,58,8.3,5.4
541,540,520,18,10,2.6
588,604,583,6,9.9,4
496,507,480,63,7.5,2.7
610,615,588,3,6.8,2.3
581,589,564,7,8.6,2.7
573,573,561,7,6.6,3
563,558,555,7,6.8,7.4
468,467,455,90,4.9,5.3
500,502,495,69,7.2,3.8
514,526,510,84,7.8,3.8
584,603,575,5,8.1,7.4
595,609,578,7,7.7,3
567,554,559,4,6.9,4.3
595,600,584,5,6.9,3.7
541,542,519,22,7.4,3.7
587,594,572,4,6.7,2.8
501,505,479,42,12.1,4.5
523,523,510,75,6.2,3.2
496,513,496,76,6.9,2
553,546,534,11,7,6.1
485,502,478,85,7.4,5.3
495,511,480,63,7.3,5.7
590,593,566,3,6.2,2.3
537,546,523,22,7.5,4.5
575,571,557,5,7.4,3.5
523,525,499,52,8.8,4.6
493,501,483,71,7.1,-1
498,496,494,66,8.4,5.8
486,496,470,67,10.8,3.9
589,600,569,3,7.1,3.9
571,565,565,10,7.6,3.1
486,506,475,51,7.4,4
559,558,540,6,11.9,3.1
518,518,506,64,4.9,-1
511,512,498,68,6,2.6
524,531,507,53,9.9,5.1
511,501,499,18,7.4,4
594,608,582,5,8.3,2.2
567,568,550,5,5.6,5.1
